,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Attachment 3,Range,Pack Size,Pack Type,Feature 4,Feature 5,Feature 6,Feature 7,Application
10,PT60913,"A E Southgate Economy paint brush 1""",A E Southgate,1.48,"An A E Southgate Economy 1"" paintbrush.","Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> A E Southgate Economy paint brush 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/15/NW-T60913_T60915_wm.jpg,N,,C110,Paint Brush,N,Size: 1 inch,,,,,,Economy,,,,,,,
11,P514519,Center CB cotton twill stair runner 24 x 3ft,Center CB,9.86,"Superior to the usually used plain cotton dust sheets, this Center CB 24 x 3' twill stair runner is ideally folded in two to provide protection to stair coverings when painting and decorating.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Center CB cotton twill stair runner 24 x 3ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/19/514519_wm.jpg,N,24 (L) x 3' (W),666009,Twill Stair Runner,N,Reusable,Drapes well,Multi-purpose for indoor and outdoor use,,,,,,,Highly absorbent,Recycled material,Double-protection,Anti-slip design,
12,PN39676,Rodo ProDec hard floor protector toll 50mtr x 625mm,Rodo,63.72,"Made of tough adhesive polythene film, these Rodo 5M floor protectors protect hard surfaces, including laminate flooring and ceramic tiles, from spills and dirt. Reverse wound, this film is simply kicked out to lay with no need for an applicator and its clear finish means you can be sure you're using the right grade. When finished, the film is simply peeled away, leaving no sticky residue behind.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Rodo ProDec hard floor protector toll 50mtr x 625mm,,9x floor protector roll,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/76/NW-N39676_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/N39676_Rodo_Instructions.pdf,,,,,,,,,,
13,P620527,Arctic Hayes Protection WM2 Work Mat 1800mm x 850mm,Arctic Hayes,20.74,"Protecting the floor while you work, this Arctic Hayes 1800 x 850mm anti-slip work mat is waterproof and highly resistant to the oil, bleach, detergents and additives that you're likely to work with during plumbing jobs. Ideal for keeping small areas of carpet clean, this handy mat has pre-cut slits designed to fit snugly around pipes.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Arctic Hayes Protection WM2 Work Mat 1800mm x 850mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/27/620527_wm.jpg,N,,WM2,Work Mat,N,Anti-slip,"Waterproof and resistant to oil, water, bleaches, detergents and heating additives",Ideal for protecting small carpet areas during work,,,,Protection,,,Washable,For interior or exterior use,Handy slits for working around pipes,Includes storage bag,
14,PT60914,"A E Southgate Economy paint brush 1.1/2""",A E Southgate,1.82,"An A E Southgate Economy 1 1/2"" paintbrush.","Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> A E Southgate Economy paint brush 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/15/NW-T60913_T60915_wm.jpg,N,,C11.5,Paint Brush,N,Size: 1-1/2 inch,,,,,,Economy,,,,,,,
15,PS63826,Sika Everbuild Woodcare 2PMAH05 2-part wood filler 500g Mahogany,Sika Everbuild,11.56,"Everbuild 2 Part High Performance Wood Filler is suitable for wood filling in windowsills, frames, doors, door frames, banisters, MDF, laminates and more. Ideal for the repair of corner pieces in furniture, damaged wooden constructions, chips or damage to parquet or laminate floors. Once applied and set this filler can withstand temperatures as low as -20 and as high as +100 degrees Celsius. Providing a durable, long lasting and shatter proof finish that can be sanded, stained, painted, varnished or Dyed 30 minutes after application which is strong enough to be drilled, nailed, planed or carved.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Sika Everbuild Woodcare 2PMAH05 2-part wood filler 500g Mahogany,,6x 500g wood filler,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/64/596364_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sika_Everbuild_Wood_Filler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Sika_Everbuild_Wood_Filler_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sika_Everbuild_2PMAH05_SDS.pdf,,,,,,,,
16,PT00002,JET Range zinc phosphate primer 2.5ltr Red,JET Range,27.87,"Formulated for brush application, this JET Range brushing zinc phosphate primer is suitable for painting ferrous metal surfaces.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> JET Range zinc phosphate primer 2.5ltr Red,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/02/T00002_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Jet_T00002_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_T00002-016_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_T000017-270_Technical.pdf,,,,,,,,
17,PN23302,Garrard Waters Polyflex Plus 7040 flooring Brecon Beige,Garrard Waters,53.0,"Suitable for gluing down, these Garrard Waters Polyflex Plus 310 x 310 x 112mm general purpose floor tiles have a neutral Brecon Beige colour. Polyflex Plus tiles are supplied in a box of 50 to cover 4.5M².",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Garrard Waters Polyflex Plus 7040 flooring Brecon Beige,,50 tiles;4.5sqm,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/NW-N23302_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Polyflor_Polyflex_Plus_PU_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polyflor_FlooringCollection_Brochure.pdf,,,,,,,,,
18,PN39673,Rodo ProDec carpet protector roll 25mtr x 625mm,Rodo,38.22,"Protecting carpet from dirt and spills, these Rodo 2.5M carpet protectors are reverse wound, which means they are simply kicked out with no need for an applicator. This film has a light yellow colour, making walkways clear and obvious and when it's no longer needed, the film simply peels away, leaving no sticky residue.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Rodo ProDec carpet protector roll 25mtr x 625mm,,9x carpet protector,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/74/NW-N39673_N39674_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N39673_Rodo_Data Sheet.pdf,,,,,,,,,,
19,P620535,Arctic Hayes Protection blue hard floor protector 600 x 25mtr,Arctic Hayes,16.37,"Supplied in a long-lasting 25M roll, this Arctic Hayes 600mm self-adhesive blue floor protector is ideal for keeping hard floors clean and stain-free during DIY or maintenance. Backed with easy-peel adhesive, this reliably tough polythene film adheres well to hard flooring before peeling away with ease when the job is done.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Arctic Hayes Protection blue hard floor protector 600 x 25mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/35/620535_wm.jpg,N,,HFP1,Floor Protector,N,25M roll,Self adhesive,Ideal for home decorating and DIY,,,,Protection,,,Super-tough polythene construction,Protects floors from dirt and spills,Easy-peel removal,Rip-resistant,ideal for protecting Hard floors during DIY or maintenance work. Easy-peel adhesive is strong enough to stick to hard floors and stay in place during work
20,PT60911,"A E Southgate Economy paint brush 1/2""",A E Southgate,1.04,"An A E Southgate Economy 1/2"" paintbrush.","Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> A E Southgate Economy paint brush 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/11/NW-T60911_wm.jpg,N,,C10.5,Paint Brush,N,Size: 1/2 inch,,,,,,Economy,,,,,,,
21,PN39674,Rodo ProDec carpet protector roll 50mtr x 625mm,Rodo,64.97,"Protecting carpet from dirt and spills, these Rodo 5M carpet protectors are reverse wound, which means they are simply kicked out with no need for an applicator. This film has a light yellow colour, making walkways clear and obvious and when it's no longer needed, the film simply peels away, leaving no sticky residue.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Rodo ProDec carpet protector roll 50mtr x 625mm,,9x carpet protector,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/74/NW-N39673_N39674_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N39674_Rodo_Data Sheet.pdf,,,,,,,,,,
22,P620534,Arctic Hayes Protection carpet protector 600 x 25mtr,Arctic Hayes,16.37,"Supplied in a long-lasting 25M roll, this Arctic Hayes 600mm self-adhesive floor protector is ideal for keeping carpets clean and stain-free during DIY or maintenance. Backed with easy-peel adhesive, this reliably tough polythene film adheres to carpets well without pulling up pile when it's removed. This adhesive floor protector is not suitable for use on wood floors.",Trade Essentials/Van and Site Essentials/Decorating Essentials/Decorating Essentials.csv -> Arctic Hayes Protection carpet protector 600 x 25mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/34/620534_wm.jpg,N,,CP1,Carpet Protector,N,25M roll,Self adhesive,Ideal for home decorating and DIY,,,,Protection,,,Super-tough polythene construction,Protects carpets from dirt and spills,Easy-peel removal,,ideal for protecting carpet during DIY or maintenance work. Easy-peel adhesive is strong enough to stick to carpets and stay in place during work without damaging pile when removed. Not suitable for use on hard floors.
