,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Position,Range,Shower Tray Shape,Style,Warranty,Hazardous,Depth (mm),Floor Mounted,Waste Supplied,Anti Slip Surface,Material,Riser included,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10
46,PE13242,Center CB square shower tray 800mm 80mm,Center CB,135.25,Center CB low level modern shower tray is constructed with ABS capped acrylic stone resin.,Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Center CB square shower tray 800mm 80mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/43/NW-E13240_E13243_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_Shower_Tray_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PD16535,Just Trays Fusion shower tray 700 x 700mm 40mm White,Just Trays,171.44,"Extra-strong, this Just Trays Fusion 700mm square flat top shower tray is made of double-skinned, ABS-capped acrylic stone resin and double skinned for extra strength. Ultra-slimline at 45mm depth and lighter in weight than other stone resin models, this contemporary tray is supplied with a 90mm rapid waste capable of draining 48L away every minute.",Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Just Trays Fusion shower tray 700 x 700mm 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/35/NW-D16535_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Just_Trays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Just_Trays_Fusion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Just_Trays_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PD17184,Just Trays Fusion Anti-Slip anti slip shower tray 800 x 800mm White,Just Trays,238.75,"Double-skinned for strength, this Just Trays Fusion Anti-Slip 800 x 45 x 800mm flat top square shower tray with waste is made of a tough ABS-capped acrylic stone resin. Suitable for fitting flat to the floor or raised up using a JT Merlin riser kit, it has a 90mm rapid waste outlet for 48LPM waste water removal. Treated with a colourless JT exclusive Anti-Slip application, this shower tray provides a safe surface for secure showering.",Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Just Trays Fusion Anti-Slip anti slip shower tray 800 x 800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/84/NW-D17184_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Just_Trays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Just_Trays_Fusion_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PD17146,Just Trays Fusion shower tray with 4 upstands 760 x 760mm White,Just Trays,182.71,"Double-skinned for additional strength, this Just Trays Fusion 760mm upstand square shower tray is made of a robust ABS-capped acrylic stone resin. Ultra-slimline at 45mm depth and lighter in weight than other stone resin models, this sleek tray is suitable for fitting flat to the floor or raised up on legs using the JT Fusion riser kit. It is supplied with a 90mm rapid waste capable of draining 48L away every minute.",Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Just Trays Fusion shower tray with 4 upstands 760 x 760mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/47/NW-D17146_D17147_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Just_Trays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Just_Trays_Fusion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Just_Trays_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PD73786,Just Trays Fusion shower tray with 4 upstands and waste 900 x 900mm White,Just Trays,394.54,"Double skinned for ultra-strong use and manufactured in ABS capped stone resin, this Just Trays Fusion 900 x 900mm four upstand shower tray pack includes a waste and trap for convenient all-in-one installation and a tiling upstand to create a watertight enclosure. Popular with installers, this low-level shower tray is easy to fit, whether on legs using the JT riser kit or flat-to-the floor for a sleek wetroom style look. With an understated elegant design and lighter than traditional stone resin trays. the Fusion includes a discreet 90mm rapid waste outlet for powerful drainage.",Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Just Trays Fusion shower tray with 4 upstands and waste 900 x 900mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/87/NW-D73785_D73787_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JustTrays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JustTrays_Fusion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/JustTrays_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PD52578,Mira Flight Low shower tray no upstands 1000 x 1000mm,Mira,189.36,"Resistant to chips and scratches, the low profile Mira Flight Low 1000mm flat top shower tray is made of a long lasting and lightweight acrylic capped resin stone. With BioCote technology built-in, this square tray is protected from bacteria and mould for easier cleaning. Quick, reliable drainage is supplied courtesy of a vortex waste, which can be installed optionally on the left or right, while four upstands make fitting easy.",Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Mira Flight Low shower tray no upstands 1000 x 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/78/NW-D52578_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Mira_Flight_Low_Square_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PD52793,Mira Flight Low shower tray with 4 upstands 900 x 900mm,Mira,173.93,"Made of highly durable yet lightweight acrylic capped resin stone, the low profile Mira Flight Low 900 x 900mm four upstand shower tray is built to last, resisting scratches and chips to look good for longer. Supplied with a vortex waste for reliable, fast drainage, the Flight Low includes inbuilt BioCote technology providing clean resistance to bacteria and mould.",Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Mira Flight Low shower tray with 4 upstands 900 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/93/NW-D52791_D52793_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Mira_Flight_Low_Square_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PD02241,Just Trays Square Shower Trays shower tray and waste 900 x 900mm White,Just Trays,209.91,"Double skinned for ultra-strong use and manufactured in ABS capped stone resin, this Just Trays Fusion 900 x 900mm flat top shower tray pack includes a waste and trap for convenient all-in-one installation. Popular with installers, this low-level shower tray is easy to fit, whether on legs using the JT riser kit or flat-to-the floor for a sleek wetroom style look. With an understated elegant design and lighter than traditional stone resin trays. the Fusion includes a discreet 90mm rapid waste outlet for powerful drainage.",Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Just Trays Square Shower Trays shower tray and waste 900 x 900mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/41/NW-D02241_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JustTrays_Fusion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JustTrays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/JustTrays_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PD52956,Mira Flight low profile shower tray (4 upstands) 760 x 760mm,Mira,125.26,"Manufactured in a highly durable resin stone great resistance against surface damage, the Mira Flight 760mm square low profile shower tray with corner waste offers unbeatable longevity and an ultra-slimline depth. Supplied with the Mira Rapi-Flo waste and four upstands, this shower tray is ready to install on delivery.",Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Mira Flight low profile shower tray (4 upstands) 760 x 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/56/D52956_wm.jpg,,,,,,White,Corner,Flight,Square,Modern,10 Years warranty,N,760,Yes,Yes,No,Tray: Acrylic capped ABS resin stoneWaste: Polypropylene construction with chrome plated dome,No,1.1697.818.WH,Square Shower Tray,N,Increased flexibility for joist configurations,With Mira Rapi-flo waste with 360° waste,Waste offers high flow rate,Hair catcher ensures rapid drainage,BioCote technology reduces bacteria and mould growth by up to 99.9%,Robust acrylic-capped resin stone,"Scratch, chip and discolouration resistant",Slim 40mm profile,White finish,10 year warranty
55,PD08275,Mira Flight Safe low level shower tray no upstands 1000 x 1000mm,Mira,262.36,"Made of highly durable yet lightweight acrylic capped resin stone, the low profile Mira Flight Safe 1000 x 1000mm shower tray is built to last, resisting scratches and chips to look good for longer. Supplied with a vortex waste for reliable, fast drainage, the Flight Safe includes inbuilt BioCote technology providing clean resistance to bacteria and mould.",Showering/Shower Trays and Bases/Square Shower Trays/Square Shower Trays.csv -> Mira Flight Safe low level shower tray no upstands 1000 x 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/75/NW-D08275_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Mira_Flight_Safe_Square_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
