,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Material,Supplier Product Code,WEEE Compliant,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Weight,Equal / Unequal,Angle,End Connection A size,End Connection B size,End Connection C size,Size,Connection Type 1,Connection Type 2,Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Diameter,Approvals,Gender
10,PP04616,GF PP UNION EPDM 275101               63,Georg Fischer,66.95,"This Georg Fischer PROGEF 63 x 63mm metric standard union is made of PP-H and includes a fusion socket connection. It is suitable for use in waste treatment, the chemical process industry, cooling water processing and in water treatment applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> GF PP UNION EPDM 275101               63",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/16/NW-P04616_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_PROGEF_Standard_System_Spec_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/GF_Marine_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_PROGEF_Standard_Union_Metric_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_PROGEF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_PROGEF_Piping_System_Technical.pdf,,,,,,,,,,,,,,,,,,,,
11,PP16448,VULC L181 92.5D ENF D SCKT BEND       38,Durapipe,35.4,This Durapipe Vulcathene L181 38 x 38mm 92.5° double socket short sweep bend is made of virgin-grade polypropylene and includes an Enfusion socket at each end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L181 92.5D ENF D SCKT BEND       38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/48/NW-P16448_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
12,PP16490,VULC L2021 92.5D END SWEEP TEE     51X38,Durapipe,85.71,"Covering all reducing branch requirements, the Durapipe Vulcathene L2021 51 x 38 x 51mm 92.5° reducing sweep tee is made of virgin-grade polypropylene with an Enfusion socket on each branch.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L2021 92.5D END SWEEP TEE     51X38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/90/NW-P16490_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
13,PP16482,VULC L203 92.5D END SWEEP TEE         76,Durapipe,90.92,"An equal three branch fitting, the Durapipe Vulcathene L203 76 x 76 x 76mm 92.5° sweep tee is made of virgin-grade polypropylene with an Enfusion socket on each branch.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L203 92.5D END SWEEP TEE         76",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/83/NW-P16480_P16483_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
14,PP16201,VULC W162 MECH LINE COUPLER           51,Durapipe,19.8,"Designed to connect equally sized pipes, this Durapipe Vulcathene W162 51 x 51mm coupler is made of virgin-grade polypropylene with compression ends.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W162 MECH LINE COUPLER           51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/03/NW-P16200_P16203_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
15,PP16441,VULC L172 92.5D ENF D SCKT BEND       51,Durapipe,68.38,This Durapipe Vulcathene L172 51 x 51mm 92.5° double socket long sweep bend is made of virgin-grade polypropylene and includes an Enfusion socket at each end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L172 92.5D ENF D SCKT BEND       51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/43/NW-P16440_P16443_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
16,PP21013,FRIAPHON 92 D SINGLE BRANCH          110,Durapipe,58.58,"Part of a system designed specifically to reduce the noise created in sanitary installations, the Durapipe Friaphon 110mm 92° single branch has built-in sound insulation properties, making it ideal for use in multi-occupancy buildings, including hotels and apartment blocks. Thanks to its dual-layer technology, Friaphon requires no lagging which, coupled with fast, simple installation, makes it an economical and convenient alternative to cast iron or single wall systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> FRIAPHON 92 D SINGLE BRANCH          110",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Friaphon singlebranch1 image_wm.jpg,,N,PVC,FP122601,N,,,,,,Friaphon,0.21608,Equal,92,110 mm,110 mm,110 mm,110mm,Ring Seal,Spigot,92° Branch,PVC construction,High levels of sound insulation,Low cost alternative to lagged plastic,Push-fit assembly,High impact and temperature resistance,Common Arrangements of Works Systems (CAWS) applicable to R15,,,
17,PP16141,VULC W182 92.5D MECH BEND             51,Durapipe,19.8,"Designed to connect equally sized pipes, this Durapipe Vulcathene W182 51 x 51mm 92.5° bend is made of virgin-grade polypropylene with standard nut and olive connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W182 92.5D MECH BEND             51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/43/NW-P16140_P16143_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
18,PP16480,VULC L201 92.5D END SWEEP TEE         38,Durapipe,51.87,"An equal three branch fitting, the Durapipe Vulcathene L201 38 x 38 x 38mm 92.5° sweep tee is made of virgin-grade polypropylene with an Enfusion socket on each branch.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L201 92.5D END SWEEP TEE         38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/83/NW-P16480_P16483_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
19,PP16653,VULC L244 ENF CLEANOUT PLUG          102,Durapipe,74.7,"A simple solution for draining or rodding of blockages, this Durapipe Vulcathene L244 102 x 102mm cleanout plug is made of virgin-grade polypropylene. The fitting comprises a spigot suitable to be fused into an Enfusion socket and a threaded plug.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L244 ENF CLEANOUT PLUG          102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/53/NW-P16653_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
20,PP04546,GF PP REDUCING BUSH 279103         32X25,Georg Fischer,5.02,This Georg Fischer 32 x 25mm reducing brush is constructed using a polypropylene homopolymer.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> GF PP REDUCING BUSH 279103         32X25",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/p_/13/PP 13_wm.jpg,,N,PP-H,727910341,N,,,,,,,0.02000,Unequal,,32 mm,,25 mm,41 x 32 mm,Socket Fusion,Socket Fusion,Reducing Bush,PP-H construction,Socket fusion connection,WRAS approved,,,,32mm x 25mm,WRAS,female
21,PP16210,VULC W39 MECH REDUCING COUPLER     51X38,Durapipe,14.67,This Durapipe Vulcathene W3921 51 x 38mm reducing coupler is made of virgin-grade polypropylene with a nut and olive connection on its small diameter end while a grooved spigot end is designed to accept the nut and olive of the fitting to be reduced.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W39 MECH REDUCING COUPLER     51X38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/10/NW-P16210_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
22,PP16701,VULC CLAMP SADDLE                 102X38,Durapipe,32.72,"Enabling the easy connection of a new branch to Vulcathene stacks, this Durapipe Vulcathene W465 102mm x 1 1/2"" clamp saddle is made of virgin-grade polypropylene with BSP female threaded outlets, nitrile seals and zinc-plated hardware. For connection to 51mm Vulcathene pipes Vulcathene mechanical or Enfusion male BSP adapters should be employed.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC CLAMP SADDLE                 102X38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/01/NW-P16701_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
23,PP16442,VULC L173 92.5D ENF D SCKT BEND       76,Durapipe,70.44,This Durapipe Vulcathene L173 76 x 76mm 92.5° double socket long sweep bend is made of virgin-grade polypropylene and includes an Enfusion socket at each end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L173 92.5D ENF D SCKT BEND       76",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/43/NW-P16440_P16443_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
24,PP16501,VULC L372 45D ENF SINGLE WYE          51,Durapipe,99.98,"Purpose designed for chemical drainage, this highly resistant Durapipe vulcathene 45° single wye covers the 38mm size. Each branch has an Enfusion socket connection.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L372 45D ENF SINGLE WYE          51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/01/NW-P16501_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
25,PP16492,VULC L2032 92.5D END SWEEP TEE     76X51,Durapipe,103.11,"Covering all reducing branch requirements, the Durapipe Vulcathene L2032 76 x 51 x 76mm 92.5° reducing sweep tee is made of virgin-grade polypropylene with an Enfusion socket on each branch.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L2032 92.5D END SWEEP TEE     76X51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/93/NW-P16492_P16493_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
26,PP16142,VULC W183 92.5D MECH BEND             76,Durapipe,60.55,"Designed to connect equally sized pipes, this Durapipe Vulcathene W1813 76 x 76mm 92.5° bend is made of virgin-grade polypropylene with standard nut and olive connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W183 92.5D MECH BEND             76",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/43/NW-P16140_P16143_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
27,PP16440,VULC L171 92.5D ENF D SCKT BEND       38,Durapipe,59.02,This Durapipe Vulcathene L171 38 x 38mm 92.5° double socket long sweep bend is made of virgin-grade polypropylene and includes an Enfusion socket at each end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L171 92.5D ENF D SCKT BEND       38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/40/NW-P16440_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
28,PP16214,VULC W39 MECH REDUCING COUPLER    102X51,Durapipe,29.5,This Durapipe Vulcathene W3922 102 x 51mm reducing coupler is made of virgin-grade polypropylene with a nut and olive connection on its small diameter end while a grooved spigot end is designed to accept the nut and olive of the fitting to be reduced.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W39 MECH REDUCING COUPLER    102X51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/14/NW-P16214_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
29,PP16202,VULC W163 MECH LINE COUPLER           76,Durapipe,48.12,"Designed to connect equally sized pipes, this Durapipe Vulcathene W163 76 x 76mm coupler is made of virgin-grade polypropylene with compression ends.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W163 MECH LINE COUPLER           76",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/03/NW-P16200_P16203_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
30,PP16443,VULC L174 92.5D ENF D SCKT BEND      102,Durapipe,87.99,This Durapipe Vulcathene L174 102 x 102mm 92.5° double socket long sweep bend is made of virgin-grade polypropylene and includes an Enfusion socket at each end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L174 92.5D ENF D SCKT BEND      102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/43/NW-P16440_P16443_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
31,PP16651,VULC L242 ENF CLEANOUT PLUG           51,Durapipe,17.81,"A simple solution for draining or rodding of blockages, this Durapipe Vulcathene L242 51 x 51mm cleanout plug is made of virgin-grade polypropylene. The fitting comprises a spigot suitable to be fused into an Enfusion socket and a threaded plug.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L242 ENF CLEANOUT PLUG           51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/51/NW-P16651_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
32,PP16513,VULC L3742 45D ENF SINGLE WYE     102X51,Durapipe,100.63,"Manufactured in polypropylene, this 102 x 102 x 51mm Durapipe Vulcathene L3742 45° reducing wye branches incorporates an enfusion socket. Chemical-resistant, this plug is part of a purpose-designed plumbing system is suitable for labs in schools, universities, hospitals and research facilities.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L3742 45D ENF SINGLE WYE     102X51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/13/NW-P16513_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vulcathene_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,
33,PP16143,VULC W184 92.5D MECH BEND            102,Durapipe,71.13,"Designed to connect equally sized pipes, this Durapipe Vulcathene W184 102 x 102mm 92.5° bend is made of virgin-grade polypropylene with standard nut and olive connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W184 92.5D MECH BEND            102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/43/NW-P16140_P16143_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
34,PP16203,VULC W164 MECH LINE COUPLER          102,Durapipe,58.68,"Designed to connect equally sized pipes, this Durapipe Vulcathene W164 102 x 102mm coupler is made of virgin-grade polypropylene with compression ends.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W164 MECH LINE COUPLER          102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/03/NW-P16200_P16203_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
35,PP16174,VULC W021 92.5D MECH SWEEP TEE     51X38,Durapipe,26.44,"Covering all reducing branch requirements, the Durapipe Vulcathene L2021 51 x 38 x 51mm 92.5° reducing sweep tee is made of virgin-grade polypropylene with a compression fitting on each branch.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W021 92.5D MECH SWEEP TEE     51X38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/74/NW-P16174_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
36,PP16173,VULC W204 92.5D MECH SWEEP TEE       102,Durapipe,88.33,"Designed to connect equally sized pipes, this Durapipe Vulcathene W204 102 x 102 x 102mm 92.5° sweep tee is made of virgin-grade polypropylene with standard nut and olive connections on each of the three branch ends.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W204 92.5D MECH SWEEP TEE       102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/73/NW-P16170_P16173_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
