,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Type,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection B size,End Connection C size,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 1,Attachment 2,Attachment 3
10,PM32348,Geberit FlowFit 620.101.00.1 Reducing tee 20 x 16 x 16mm,Geberit,8.88,"Part of a comprehensive system, this Geberit FlowFit 20 x 16 x 16mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.101.00.1 Reducing tee 20 x 16 x 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32348_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21968,Unequal,20 mm,16mmØ,16 mm,PPSU Polyphenylsulfone,20 x 16 x 16mm,620.101.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
11,PM32355,Geberit FlowFit 620.111.00.1 Reducing tee 20 x 16 x 20mm,Geberit,8.88,"Part of a comprehensive system, this Geberit FlowFit 20 x 16 x 20mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.111.00.1 Reducing tee 20 x 16 x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32355_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21971,Unequal,20 mm,16mmØ,20 mm,PPSU Polyphenylsulfone,20 x 16 x 20mm,620.111.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
12,PF50745,Georg Fischer Aquasystem saddle with spigot 75 x 32mm,Georg Fischer,5.29,"Lightweight yet highly durable, this Georg Fischer Aquasystem 75 x 32mm saddle with spigot connection (G-type) is capable of supporting plastic or metal piping systems. Made of PP-R copolymer, this part offers socket fusion connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Georg Fischer Aquasystem saddle with spigot 75 x 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/46/NW-F50744_F50746_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Georg_Fischer_Product_Range.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/em/GFPS_Product_Range_Aqua_System.pdf,
13,PM32370,Geberit FlowFit 620.132.00.1 Reducing tee 20 x 25 x 20mm,Geberit,13.34,"Part of a comprehensive system, this Geberit FlowFit 20 x 25 x 20mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.132.00.1 Reducing tee 20 x 25 x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32370_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21947,Unequal,20 mm,25 mm,20 mm,PPSU Polyphenylsulfone,20 x 25 x 20mm,620.132.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
14,PM32310,Geberit FlowFit 620.042.00.1 Reducer 25mm x 20mm,Geberit,7.22,"Part of a comprehensive system, this Geberit FlowFit 25 x 20mm reducer is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building system","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.042.00.1 Reducer 25mm x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32310_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21960,Unequal,25 mm,20 mm,,PPSU Polyphenylsulfone,25mm x 20mm,620.042.00.1,Reducer,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
15,PF50750,Georg Fischer Aquasystem saddle with spigot 90 x 40mm,Georg Fischer,6.02,"Lightweight yet highly durable, this Georg Fischer Aquasystem 90 x 40mm saddle with spigot connection (G-type) is capable of supporting plastic or metal piping systems. Made of PP-R copolymer, this part offers socket fusion connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Georg Fischer Aquasystem saddle with spigot 90 x 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/50/NW-F50749_F50750_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Georg_Fischer_Product_Range.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/em/GFPS_Product_Range_Aqua_System.pdf,
16,PM32369,Geberit FlowFit 620.131.00.1 Reducing tee 20 x 20 x 16mm,Geberit,8.88,"Part of a comprehensive system, this Geberit FlowFit 20 x 20 x 16mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.131.00.1 Reducing tee 20 x 20 x 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32369_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21976,Unequal,20 mm,20 mm,16 mm,PPSU Polyphenylsulfone,20 x 20 x 16mm,620.131.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
17,PM32351,Geberit FlowFit 620.104.00.1 Reducing tee 40 x 20 x 20mm,Geberit,27.83,"Part of a comprehensive system, this Geberit FlowFit 40 x 20 x 20mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.104.00.1 Reducing tee 40 x 20 x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32351_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21941,Unequal,40 mm,20 mm,20 mm,PPSU Polyphenylsulfone,40 x 20 x 20mm,620.104.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
18,PM32349,Geberit FlowFit 620.102.00.1 Reducing tee 25 x 20 x 20mm,Geberit,13.34,"Part of a comprehensive system, this Geberit FlowFit 25 x 20 x 20mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.102.00.1 Reducing tee 25 x 20 x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32349_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21970,Unequal,25 mm,20 mm,20 mm,PPSU Polyphenylsulfone,25 x 20 x 20mm,620.102.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
19,PM32363,Geberit FlowFit 620.122.00.1 Reducing tee 25 x 20 x 25mm,Geberit,13.34,"Part of a comprehensive system, this Geberit FlowFit 25 x 20 x 25mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.122.00.1 Reducing tee 25 x 20 x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32363_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21973,Unequal,25 mm,20 mm,25 mm,PPSU Polyphenylsulfone,25 x 20 x 25mm,620.122.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
20,PP90373,GFP 50X32MM REDUCER EF SDR11,Georg Fischer,12.55,"This Georg Fischer ELGEF Plus SDR11 50 x 32mm reducer is made of polyethylene and includes integral pipe fixation. This reducer is suitable for use in industrial pressure, distribution lines, house connections and in water and gas distribution applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> GFP 50X32MM REDUCER EF SDR11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/73/NW-P90372_P90373_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_ELGEF_Plus_Reducer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf
21,PM32313,Geberit FlowFit 620.045.00.1 Reducer 50mm x 40mm,Geberit,24.46,"Part of a comprehensive system, this Geberit FlowFit 50 x 40mm reducer is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building system","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.045.00.1 Reducer 50mm x 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32313_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21962,Unequal,50 mm,40mmØ,,PPSU Polyphenylsulfone,50mm x 40mm,620.045.00.1,Reducer,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
22,PF50746,Georg Fischer Aquasystem saddle with spigot 75 x 40mm,Georg Fischer,6.02,"Lightweight yet highly durable, this Georg Fischer Aquasystem 75 x 40mm saddle with spigot connection (G-type) is capable of supporting plastic or metal piping systems. Made of PP-R copolymer, this part offers socket fusion connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Georg Fischer Aquasystem saddle with spigot 75 x 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/46/NW-F50744_F50746_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Georg_Fischer_Product_Range.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/em/GFPS_Product_Range_Aqua_System.pdf,
23,PM32366,Geberit FlowFit 620.125.00.1 Reducing tee 50 x 32 x 50mm,Geberit,45.91,"Part of a comprehensive system, this Geberit FlowFit 50 x 32 x 50mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.125.00.1 Reducing tee 50 x 32 x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32366_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21974,Unequal,50 mm,32 mm,50 mm,PPSU Polyphenylsulfone,50 x 32 x 50mm,620.125.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
24,PM32311,Geberit FlowFit 620.043.00.1 Reducer 32mm x 25mm,Geberit,10.3,"Part of a comprehensive system, this Geberit FlowFit 32 x 25mm reducer is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building system","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Plastic Pipe Fittings Reducers/Pressure Plastic Pipe Fittings Reducers.csv -> Geberit FlowFit 620.043.00.1 Reducer 32mm x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32311_Primary_Image_wm.jpg,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21961,Unequal,32 mm,25 mm,,PPSU Polyphenylsulfone,32mm x 25mm,620.043.00.1,Reducer,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,
