,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Range,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
15,PD73775,Just Trays Fusion square shower tray with anti slip and waste 800 x 800mm 40mm White,Just Trays,231.17,"Double skinned for ultra-strong use and manufactured in ABS capped stone resin, this Just Trays Fusion 800 x 800mm shower tray pack includes a waste and trap for convenient all-in-one installation. Popular with installers, this low-level shower tray is easy to fit, whether on legs using the JT riser kit or flat-to-the floor for a sleek wetroom style look. With an understated elegant design and lighter than traditional stone resin trays. the Fusion includes a discreet 90mm rapid waste outlet for powerful drainage.",Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Just Trays Fusion square shower tray with anti slip and waste 800 x 800mm 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/75/NW-D73775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JustTrays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JustTrays_Fusion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/JustTrays_Brochure_2018.pdf,,,,,,,,,,,,,,,
16,PN86477,Perform Panel Origins 9711 WH frost ply SE PNL 2400 x 1200 x 11,Perform Panel,146.89,"Completely waterproof, this Nu-Style Origins 2400 x 1200mm shower wall panel is an easy, reliable alternative to tiling. Simple to install and easy to cut to size, this panel requires no grouting, painting or waterproofing and can be simply clicked together using the Nu-Lock tongue and groove edges for a watertight finish with no challenging jointing. With its neutral patterned White Frost finish, this panel is ideal for contemporary bathrooms.",Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Perform Panel Origins 9711 WH frost ply SE PNL 2400 x 1200 x 11,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/77/N86477_wm.jpg,,,,,,White Frost,Origins,N,11,Gloss high-pressure laminate,SE1200PLYWHITEFRST,Shower Wall Panel,N,White Frost finish,Nu-lock tongue and groove edges,Easy-click installation,Can be easily cut to size,High pressure laminate construction
17,PD73757,Just Trays Fusion rectangular shower tray with anti slip and waste 1200 x 900mm 40mm White,Just Trays,405.75,"Double skinned for ultra-strong use and manufactured in ABS capped stone resin, this Just Trays Fusion 1200 x 900mm shower tray pack includes a waste and trap for convenient all-in-one installation. Popular with installers, this low-level shower tray is easy to fit, whether on legs using the JT riser kit or flat-to-the floor for a sleek wetroom style look. With an understated elegant design and lighter than traditional stone resin trays. the Fusion includes a discreet 90mm rapid waste outlet for powerful drainage.",Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Just Trays Fusion rectangular shower tray with anti slip and waste 1200 x 900mm 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/58/NW-D73755_D73758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JustTrays_Fusion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JustTrays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/JustTrays_Brochure_2018.pdf,,,,,,,,,,,,,,,
18,PC20226,Center CB 32mm contemporary bottle trap,Center CB,40.4,Nabis contemporary 1 1/4 inch bottle trap with a 75mm water seal suitable for all types of commercial and domestic installations.,Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Center CB 32mm contemporary bottle trap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/26/A03810_C20226_wm.jpg,,,,,,Chrome,,N,,Metal,PBT51WC,Bottle Trap,N,Easy to install,Lightweight and easy to handle on-site,Chrome finish,Fittings are precision moulded in white polypropylene for durability,Suitable for commercial and domestic installations
19,PD00444,Mira Flight Safe low level shower tray with 4 upstand 1200mm x 900mm,Mira,313.14,"Made of highly durable yet lightweight acrylic capped resin stone, the low profile Mira Flight Safe 1200 x 900mm four upstand shower tray is built to last, resisting scratches and chips to look good for longer. Supplied with a vortex waste for reliable, fast drainage, the Flight Low includes inbuilt BioCote technology providing clean resistance to bacteria and mould.",Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Mira Flight Safe low level shower tray with 4 upstand 1200mm x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/44/NW-D00444_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Mira_Flight_Safe_Rectangle_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,
20,PD30599,Ideal Standard Contour 21 Doc-M shower rails Grey,Ideal Standard,2669.71,"Designed for ambulant disabled users, this Armitage Shanks Doc M shower room pack in grey is also suitable for walking impaired and infirm people. Creating a slip-resistant shower area, this handy all-in-one pack includes a hinged seat for seated showering, a lever-operated shower mixer and adjustable shower head as well as a shower curtain and grab rails. TMV3 approved, the included thermostatic shower valve, best-suited to duct installation, provides safe showering at a constant temperature.",Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Ideal Standard Contour 21 Doc-M shower rails Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/99/NW-D30599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6960_Technical.pdf,,,,,,,,,,,,,,,,,
21,P200410,Nabis Tilly 924 1200 x 500mm btu Chrome,Nabis,387.94,"Manufactured in tough mild steel, the Nabis Tilly contemporary towel warmer is hardwearing and tough with a metallic chrome finish that looks great in modern bathrooms. Providing plentiful hanging and heating space, the 13 bar Tilly offers a 925 BTU/h output.",Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Nabis Tilly 924 1200 x 500mm btu Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/10/200410_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_MS120050CP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_p/df/200410_PDF.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabis_Bathroom_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis Fitting Instructions.pdf,,,,,,,,,,,,,
22,PD00762,Roca The Gap soft close toilet seat White,Roca,126.1,"Compact and functional, the soft close Roca The Gap square toilet seat and cover has a glossy white finish and is designed to fit perfectly with the rest of the ultra-modern The Gap bathroom range.",Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Roca The Gap soft close toilet seat White,,Toilet seat;Cover;Hinge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/62/NW-D00762_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roca_The_Gap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00762_Technical.pdf,,,,,,,,,,,,,,,,
23,PD60722,Mira folding shower seat White,Mira,124.75,"Suitable for use inside or outside the showering area, this Mira white shower seat provides additional security for bathroom users requiring additional support.",Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Mira folding shower seat White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/22/NW-D60722_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_ShowerSeat_Installation.pdf,,,,,,,,,,,,,,,,,
24,PD08261,Mira Flight Safe low level shower tray no upstands 900 x 900mm,Mira,189.58,"Made of highly durable yet lightweight acrylic capped resin stone, the low profile Mira Flight Safe 900 x 900mm shower tray is built to last, resisting scratches and chips to look good for longer. Supplied with a vortex waste for reliable, fast drainage, the Flight Safe includes inbuilt BioCote technology providing clean resistance to bacteria and mould.",Bathrooms and Kitchens/Independent Living Bathrooms/Independent Living Bathrooms.csv -> Mira Flight Safe low level shower tray no upstands 900 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/61/NW-D08261_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Mira_Flight_Safe_Square_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,
