,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Hazardous,Pack Type,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Colour,Volume,Physical State / Form,Feature 9,Feature 10,Feature 11,Feature 12,Range
10,P608058,Adey MC1+ central heating protector 5ltr,Adey,164.58,"Wave goodbye to the damaging effects of magnetite and other unwelcome deposits with Adey MC1+ protector, supplied in a 5L can. Formulated to prevent wear and tear and the debris that gathers in central heating systems, MC1+ helps to extend your system's lifetime and keep your boiler working at maximum efficiency.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Adey MC1+ central heating protector 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/58/NW-608058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC1+_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/Adey_MC1+MSDS_V2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P606009,Fernox F1 protector F1 265ml pack,Fernox,8.9,"Supplying long term protection against corrosion and limescale, the Fernox F1 protector can help to extend the life of a central heating systems. Safe for use on all of the materials commonly used in central heating installations, including aluminium, F1 is compatible with all types of boilers, radiators and pipework and can be used in underfloor heating systems.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Fernox F1 protector F1 265ml pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/75/NW-609275_wm.jpg,,,,,,,,N,Bottle,606009 PK,Protector,N,BoilerRadiatorPipework System,265ml bottle,Yellow liquid,Prevents corrosion and scale,Helps to extend system life and efficiency,For use in mixed metal heating systems,pH buffering for optimum system pH control,Prevents radiator cold spots,Prevents sticking pumps and boiler noise,Yellow,265ml,Liquid,"Treats up to 100L, 12 radiators or 190M² of underfloor heating",Less packaging waste,Lower environmental impact,Can be dosed via any Fernox TF1 Filter,
12,P606688,Sentinel X100 inhibitor promo 1ltr,Sentinel,12.0,"Suitable for use in all types of indirect central heating systems, Sentinel X100 inhibitor, supplied in a 1L bottle, protects clean central heating systems from the damage that can be caused by limescale and corrosion. This inhibitor will helps to maximise efficiency while minimising fuel use and extending the life of your boiler.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Sentinel X100 inhibitor promo 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/88/606688_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Sentinel_X100L_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sentinel_X100Inhibitor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X100_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P606171,Fernox F1 Express F1 protector pack 400ml,Fernox,16.75,"Preventing corrosion and limescale in central heating systems, this Fernox F1 Express protector pack offers high levels of protection through a unique combination of three inhibitors of organic particles. These inhibitors work by simply binding to the metal used in the heating system, protecting from debris while anodic inhibitors react with those surfaces to create a protective layer. Additionally, cathodic inhibitors combine with hard water salts to form an insoluble layer. On top of that, F1 also includes pH buffering keeping the system water pH level between 6.5 and 8.5, the optimum range for the prevention of corrosion and limescale. It is recommended that concentration levels are checked annually during boiler or system services.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Fernox F1 Express F1 protector pack 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/71/NW-606171_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_62418_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62418_Protector_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P603303,Fernox system health check postal kit,Fernox,69.89,"The Fernox Postal Sampling Service provides an invaluable facility for those who want to ascertain the cause of central heating problems and to determine the necessary remedial action required to resolve them, particularly where on-site results are inconclusive. Analytical water testing works because the water in the system contains all the information required for diagnosis of the most common problems. The Fernox laboratory will carry out a full analysis of the system water as part of the Postal Sampling Service, establishing the root of the problem and prescribing the correct Fernox treatment. Following treatment with Fernox products, the Postal Sampling Service will provide confirmation that the system has been correctly treated. This service is not available if competitor products have been used.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Fernox system health check postal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/03/NW-603303_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fernox_EBenefits_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_61161_System_Health_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P606686,Sentinel best practice protection pack,Sentinel,75.0,"The Sentinel Best Practice protection pack is a simple, one-pack solution for the effective protection of central heating systems.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Sentinel best practice protection pack,,Eliminator Vortex300 filter with 22mm direct fit GRP T-piece;X800 fast acting cleaner 1l;X100 inhibitor 1l,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/86/NW-606686_wm.jpg,,,,,,,,N,,606686 PK,Best Practice Protection Pack,N,Suitable for Central Heating Systems,Unique Vortex Core with powerful neodymium magnet assembly,Retains more magnetite than other filters,Ensures filter cannot block,Compact filter design,In-line installation and 360° rotating T-piece for reduced space,Unique anti-corrosion formulation with multiple heavy duty inhibitors,Intelligent formulation with pH stabilisers,Reduces circulation time to just 1 hour,,,,,,,,
16,P609290,Adey MC1+ Rapide MC1+ central heating protector 300ml,Adey,17.5,"Offering fast and effective corrosion protection, Adey MC1+ Rapide protector effectively protects central heating systems from debris. With the 300ml quick-dose bottle, this useful heating treatment can be added through a radiator, air vent or boiler filling loop, taking just 20 seconds to administer, minimising wait times and costs.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Adey MC1+ Rapide MC1+ central heating protector 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/90/NW-609290_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Adey_MC1+ RapideProtector_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC1+_Rapide_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P640283,EndoTherm energy saving additive 500ml,EndoTherm,50.4,"Supplied in a 500ml can, EndoTherm energy saving additive is independently shown to help customers save up to 15% on their home heating bills thanks to higher levels of efficiency.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> EndoTherm energy saving additive 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/83/NW-640283_wm.jpg,,,,,,,,N,Can,10-10-000,Energy Saving Additive,N,Suitable for Central Heating Systems,Non-corrosive,Compatible with all corrosion inhibitors,Easy installation,Suitable for old and new heating systems,Helps to deliver savings,With free applicator,,,,,,,,,,Energy
18,P608207,Fernox Express 62514 inhibitor test,Fernox,35.28,"Easy to use, this Fernox express inhibitor test offers fast on-site analysis of the concentration of all Fernox protectors, as well as other molybdate based inhibitors, in the water of your central heating system. This quick testing method is ideal for establishing the presence of inhibitor within the system, helping you to make treatment decisions.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Fernox Express 62514 inhibitor test,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/07/NW-608207_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62514_Express_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P606168,Fernox F1 central heating protector pack 500ml,Fernox,15.82,"Preventing corrosion and limescale in central heating systems, this Fernox F1 Express protector pack offers high levels of protection through a unique combination of three inhibitors of organic particles. These inhibitors work by simply binding to the metal used in the heating system, protecting from debris while anodic inhibitors react with those surfaces to create a protective layer. Additionally, cathodic inhibitors combine with hard water salts to form an insoluble layer.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Fernox F1 central heating protector pack 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/68/NW-606168_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56599_ProtectorF1_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Fernox_ConcentrateCH_ProtectorF1_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_56599_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
