,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Colour,Seasonal Space Heating Energy Efficiency %,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Boiler Bundles,Feature 19,Feature 20
0,P333055,Viessmann Vitoden 050 BOKA combi boiler 30kW White,Viessmann,917.93,"Offering ease of installation, the low height Viessmann Vitodens 050 BOKA 30kW gas condensing combi boiler fits well into any home, whether a new build or refurb. It is supplied with a mounting bracket, connection set and mounting template and is both simple to use and efficient to run, with a high quality MatriX burner contributing to its cost-saving ErP A rating.",Boilers/sub_categories/Boiler Packs/sub_categories/Viessmann Boiler Packs/Viessmann Boiler Packs.csv -> Viessmann Vitoden 050 BOKA combi boiler 30kW White,,"Boiler;mounting bracket;connection set;Instruction manual, mounting template",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ro/nt/159683_159684_front_wm.jpg,12.2,LPG,Vitoden 050,7 Years,KG,A,N,A,29.6 kW,300,92,Wall Mounted,333055 PK,Combi Boiler,N,Low height for flexible installation,For wall mounting,Wi-Fi enabled,Simple operation,With MatriX burner,Suitable for natural gas or LPG,7 year warranty,,,,,,,,,,,,,,,,
1,P333744,Viessmann Vitodens 100-W 35 boiler and horizontal flue 100-W 35kW,Viessmann,1373.66,"Quiet and compact, the clever Viessmann Vitodens 100-W 35kW combi boiler is an ideal choice for small, well-insulated homes. Supplied with a horizontal flue for ease of fitting, this wall-mounted combi boiler has an innovative design, employing an Inox-Radial heat exchanger for high levels of efficiency, earning it an ErP A rating. Highly economical, the Vitodens is ready to incorporate smart control technology for even better economy and eco-friendly comfort.",Boilers/sub_categories/Boiler Packs/sub_categories/Viessmann Boiler Packs/Viessmann Boiler Packs.csv -> Viessmann Vitodens 100-W 35 boiler and horizontal flue 100-W 35kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/333742_44 PK_wm.jpg,,Natural Gas,Vitodens 100-W,,,,N,,,,,,333744 PK,Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,Includes boiler and horizontal flue,Compact design,Low weight,Low fan speed for quieter operation,Viessmann combined flue system (CFS) routes numerous boiler flues up the riser to one roof termination point,High output ratio suitable for use in small apartments and well-insulated buildings,White/Gloss,A,Ideal replacement for older boiler systems in renovation projects,High quality stainless steel Inox-Radial heat exchanger,Combined PRV and condensate connections that can be routed into the CFS,Single drain at base of system to remove condensate without unsightly pipes through external walls,Up to 94% of fuel used is converted into heat,Low CO2 emissions for reduced environmental impact,"User-friendly backlit LCD touchscreen for easy operation, even in dark rooms","Range of compatible room thermostats and controls, including wireless remote control available",DHW flow rate of 16.7LPM at 30K,5 year warranty,Extended warranty available when following Viessmann installation specification and gui,,,
2,P333743,Viessmann Vitodens 100-W 30 boiler and horizontal flue 100-W 30kW,Viessmann,1307.68,"Quiet and compact, the clever Viessmann Vitodens 100-W 30kW combi boiler is an ideal choice for small, well-insulated homes. Supplied with a horizontal flue for ease of fitting, this wall-mounted combi boiler has an innovative design, employing an Inox-Radial heat exchanger for high levels of efficiency, earning it an ErP A rating. Highly economical, the Vitodens is ready to incorporate smart control technology for even better economy and eco-friendly comfort.",Boilers/sub_categories/Boiler Packs/sub_categories/Viessmann Boiler Packs/Viessmann Boiler Packs.csv -> Viessmann Vitodens 100-W 30 boiler and horizontal flue 100-W 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/333742_44 PK_wm.jpg,,Natural Gas,Vitodens 100-W,,,,N,,,,,,333743 PK,High Efficiency Condensing Combi Boiler Pack,N,Includes boiler and horizontal flue,"Compact, space-saving dimensions",Low installed height,Installation space for adaptation to existing systems,Pre-plumbing jig is provided with the standard boiler kit,Additional installation aids such as a rear-piping frame are available,Flexible installation with flue length up to 19M (sealed room),White/Gloss,A,Front servicing access,Backlit LCD touchscreen for easy control even in dark environments,Reliable stainless steel Inox-Radial heat exchanger,Modulation range up to 1:6,"Patented technology, manufactured by Viessmann",Approved for multiple connections to stacks in multi-storey buildings,SEDBUK 2009 seasonal efficiency 89.5%,DHW flow rate of 12LPM at 35°C,High efficiency A-rated pump with automatic speed control (only with outdoor sensor),Simple conversion kit to LPG,10 year warranty on the Inox-Radial heat exchanger,"333708, 333743",5 year warranty,Extended warranty available when following Viessmann installation specification and guidelines
3,P333031,Viessmann Vitodens horizontal flue kit and 050-W BOKA combi boiler NG / LPG 25KW,Viessmann,924.46,"Helping to make specification simple, this Viessmann Vitodens boiler pack incorporates the Vitodens 050-W BOKA 25kW combi boiler, compatible with natural gas and LPG, and a complete horizontal flue kit.",Boilers/sub_categories/Boiler Packs/sub_categories/Viessmann Boiler Packs/Viessmann Boiler Packs.csv -> Viessmann Vitodens horizontal flue kit and 050-W BOKA combi boiler NG / LPG 25KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/1_/pk/333030_31 PK_wm.jpg,,,Vitodens,,,,N,,,,,,333031 PK,,N,All-in-one pack,For ease of specification,With horizontal flue,Suitable for NG and LPG,,,,,,,,,,,,,,,,,,,
4,P333068,Viessmann Vitodens 100-W B1GA-25 heat only NG/LPG boiler pack 25kW,Viessmann,1074.32,"Hydrogen-ready (H2, 20% blend), the Viessmann Vitodens 100-W heat only natural gas condensing boiler is suitable for installation on existing open vented or sealed systems. Reliable and high performing, this ErP A-rated heat only boiler is fitted with the patented Viessmann Matrix Plus Burner and a stainless steel Inox-Radial heat exchanger. Lightweight and compact, the Vitodens 100-W is easy to install in almost any location.",Boilers/sub_categories/Boiler Packs/sub_categories/Viessmann Boiler Packs/Viessmann Boiler Packs.csv -> Viessmann Vitodens 100-W B1GA-25 heat only NG/LPG boiler pack 25kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/57/147053_57_wm.jpg,,Natural Gas,Vitodens 100-W,5 Years,23 kg,A,N,,25 kW,285,92,Wall,333068 PK,Heat Only Boiler,N,Gas condensing heat only boiler for open vent and sealed systems,"Lambda Pro for exceptional performance, high efficiency and low emissions",Hydrogen ready (H2 20% blend),Compact design for cupboard installation,Ideal for bungalow application with its low static water head requirement,"Low weight, easy to handle",Particularly attractive price/performance ratio,,,Durable and efficient due to Inox-Radial stainless steel heat exchanger,MatriX-Plus burner,Easy operation via control unit with LED display and touch buttons,Internet capability with WiFi ready for ViCare app,Ideal for installation in living areas thanks to its low operating noise and compact dimensions,LPG configurable through control settings,,,,,,,,
5,P333742,Viessmann Vitodens 100-W 26 boiler and horizontal flue 100-W 26kW,Viessmann,1257.73,"Quiet and compact, the clever Viessmann Vitodens 100-W 26kW combi boiler is an ideal choice for small, well-insulated homes. Supplied with a horizontal flue for ease of fitting, this wall-mounted combi boiler has an innovative design, employing an Inox-Radial heat exchanger for high levels of efficiency, earning it an ErP A rating. Highly economical, the Vitodens is ready to incorporate smart control technology for even better economy and eco-friendly comfort.",Boilers/sub_categories/Boiler Packs/sub_categories/Viessmann Boiler Packs/Viessmann Boiler Packs.csv -> Viessmann Vitodens 100-W 26 boiler and horizontal flue 100-W 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/333742_44 PK_wm.jpg,,Natural Gas,Vitodens 100-W,,,,N,,,,,,333742 PK,Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,Includes boiler and horizontal flue,Compact design,Low weight,Low fan speed for quieter operation,Viessmann combined flue system (CFS) routes numerous boiler flues up the riser to one roof termination point,High output ratio suitable for use in small apartments and well-insulated buildings,White/Gloss,A,Ideal replacement for older boiler systems in renovation projects,High quality stainless steel Inox-Radial heat exchanger,Combined PRV and condensate connections that can be routed into the CFS,Single drain at base of system to remove condensate without unsightly pipes through external walls,Up to 94% of fuel used is converted into heat,Low CO2 emissions for reduced environmental impact,"User-friendly backlit LCD touchscreen for easy operation, even in dark rooms","Range of compatible room thermostats and controls, including wireless remote control available",DHW flow rate of 12.4LPM at 30K,5 year warranty,Extended warranty available when following Viessmann installation specification and gui,,,
