,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Pack Quantity,Position,Shower Tray Shape,Style,Warranty,Hazardous,Depth (mm),Floor Mounted,Anti Slip Surface,Material,Riser included,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Range,Waste Kit Included,Weight,Waste Supplied,Attachment 5,Feature 9,Feature 10
307,PD33897,Just Trays Fusion 4 upstand shower tray 1100 x 800 x 45mm White,Just Trays,428.91,"Supplied with a waste and four upstands, this Just Trays Fusion 800 x 45 x 1100mm upstand shower tray is made of ABS-capped acrylic stone resin, double-skinned for robust strength. Slimline and sleek, this tray has a concealed waste for a minimalist finish in modern bathrooms.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Just Trays Fusion 4 upstand shower tray 1100 x 800 x 45mm White,,Upst;shower tray;Waste,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/97/NW-D33895_D33897_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Just_Trays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Just_Trays_Fusion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Just_Trays_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT04087,Marleton Cross elements low profile tray 1800 x 800 (1),Marleton Cross,239.57,"Supplying all the benefits of solid cast stone, the Marleton Cross Elements 1800 x 800mm low profile rectangular shower tray has a slimline silhouette ideal for modern bathrooms. Highly functional, this smart modern shower tray is designed with a contoured underside, allowing for the addition of legs.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Marleton Cross elements low profile tray 1800 x 800 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/82/T03887_04087_04085_04182_wm.jpg,,,,,White,1,Centre,Rectangular,Low Profile,25 Years,N,800,Yes,No,solid cast stone,No,XHT,Shower Tray,N,Suitable for most enclosures,Suitable for 90mm waste,Solid cast stone construction,White colour,40% lighter than a high wall stone resin tray,"Manufactured using WRAS approved, phthalate-free materials",Complies with BS EN 14527,25 year warranty,,,,,,,
309,PD52572,Mira Flight Low left handed quadrant shower tray no upstands 1000 x 800mm,Mira,178.8,"Made of highly durable yet lightweight acrylic capped resin stone, the low profile Mira Flight Low 1000 x 800mm flat top shower tray is built to last, resisting scratches and chips to look good for longer. Supplied with a vortex waste for reliable, fast drainage, the Flight Low includes inbuilt BioCote technology providing clean resistance to bacteria and mould.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Mira Flight Low left handed quadrant shower tray no upstands 1000 x 800mm,,Shower tray;Vortex waste,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/72/NW-D52572_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Mira_Flight_Low_Quadrant_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_FlightLLShowerTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PD33516,Just Trays Fusion shower tray 1600 x 800mm White,Just Trays,719.48,"Double-skinned for additional strength, this Just Trays Fusion 800 x 45 x 1600mm flat top rectangular shower tray is made of a robust ABS-capped acrylic stone resin. Ultra-slimline, this sleek tray is suitable for fitting flat to the floor or raised up on legs using the JT Fusion riser kit.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Just Trays Fusion shower tray 1600 x 800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/18/NW-D33506_D33518_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Just_Trays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Just_Trays_Fusion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Just_Trays_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PD16535,Just Trays Fusion shower tray 700 x 700mm 40mm White,Just Trays,171.44,"Extra-strong, this Just Trays Fusion 700mm square flat top shower tray is made of double-skinned, ABS-capped acrylic stone resin and double skinned for extra strength. Ultra-slimline at 45mm depth and lighter in weight than other stone resin models, this contemporary tray is supplied with a 90mm rapid waste capable of draining 48L away every minute.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Just Trays Fusion shower tray 700 x 700mm 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/35/NW-D16535_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Just_Trays_Fusion_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Just_Trays_Fusion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Just_Trays_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PD52956,Mira Flight low profile shower tray (4 upstands) 760 x 760mm,Mira,125.26,"Manufactured in a highly durable resin stone great resistance against surface damage, the Mira Flight 760mm square low profile shower tray with corner waste offers unbeatable longevity and an ultra-slimline depth. Supplied with the Mira Rapi-Flo waste and four upstands, this shower tray is ready to install on delivery.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Mira Flight low profile shower tray (4 upstands) 760 x 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/56/D52956_wm.jpg,,,,,White,,Corner,Square,Modern,10 Years warranty,N,760,Yes,No,Tray: Acrylic capped ABS resin stoneWaste: Polypropylene construction with chrome plated dome,No,1.1697.818.WH,Square Shower Tray,N,Increased flexibility for joist configurations,With Mira Rapi-flo waste with 360° waste,Waste offers high flow rate,Hair catcher ensures rapid drainage,BioCote technology reduces bacteria and mould growth by up to 99.9%,Robust acrylic-capped resin stone,"Scratch, chip and discolouration resistant",Slim 40mm profile,Flight,,,Yes,,White finish,10 year warranty
313,PD07367,Just Trays shower tray panel kit 6 1800 x 1000mm,Just Trays,37.18,"This Just Trays 1800 x 1000mm Panel Kit 4 riser kit maintains and protects a shower tray for long lasting durability, preventing floods, splashes, and unexpected damage. Constructed from ABS acrylic, this riser kit contains all required fittings.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Just Trays shower tray panel kit 6 1800 x 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/68/NW-D07364_D07368_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JustTrays_D07367_KIT4_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PD07576,Twyford Twyford Trays shower tray with 4 upstands 1000 x 800mm,Twyford,206.08,"Creating a slimline shower profile, the Twyford 1000 x 800mm rectangular four upstand shower tray is made from hardwearing ABS acrylic capped polyconcrete for high levels of durability.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Twyford Twyford Trays shower tray with 4 upstands 1000 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/76/NW-D07576_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Tray_Rectangle_Upstand_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Twyford_Rectangle_Upstand_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Twyford_StdTray_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Twyford_DOP18_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Twyford_Showering_Brochure_2019.pdf,,
315,PT03887,Marleton Cross low profile rectangle tray 900 x 800 mm White (1),Marleton Cross,114.88,"Supplying all the benefits of solid cast stone, the Marleton Cross Elements 900 x 800mm low profile rectangular shower tray has a slimline silhouette ideal for modern bathrooms. Highly functional, this smart modern shower tray is designed with a contoured underside, allowing for the addition of legs.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Marleton Cross low profile rectangle tray 900 x 800 mm White (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/82/T03887_04087_04085_04182_wm.jpg,,,,,White,1,Centre,Rectangular,Flat Top,25 Years,N,800,Yes,No,solid cast stone,No,SNY,Shower Tray,N,Suitable for most enclosures,Suitable for 90mm waste,Solid cast stone construction,White colour,40% lighter than a high wall stone resin tray,"Manufactured using WRAS approved, phthalate-free materials",Complies with BS EN 14527,25 year warranty,,,,,,,
316,PN66363,Ideal Standard i.Life S Ultraflat shower tray 1200 x 800mm White,Ideal Standard,396.19,"The Ideal Standard UltraFlat S i.Life 1200 x 800mm shower tray in white has an extremely low profile design to suit modern wetroom style bathrooms. It is manufactured in a tough stone resin with a textured matte stone-look finish for a natural, contemporary appearance.",Showering/Shower Trays and Bases/Shower Trays and Bases.csv -> Ideal Standard i.Life S Ultraflat shower tray 1200 x 800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/89/596789_wm.jpg,,,,,White,,N/A,Rectangular,Contemporary,12 Months,N,800,Yes,Yes,Stone Resin,No,T5220FR,Shower Tray,N,Low profile design,Stone resin construction,With gel-coat finish,White colour,Modern design,Anti-slip surface meets EN 16165,12 month warranty,,i.Life S,,,No,,,
