,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Flow Rate,Range,Voltage (V),Warranty,Phase,Hazardous,Output,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 4,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Weight,Attachment 5,Attachment 6,Feature 20,Feature 21,Feature 22
63,P149308,Grundfos UPS 40-50FN hotwater system circulating pump no flanges 1 ph,Grundfos,1145.82,"Featuring a corrosion-free stainless steel pump housing, this Grundfos UPS 40-50 F N 250 circulator pump is ideal for domestic hot water recirculation and underfloor heating systems. Suitable for connection to an on/off time switch to limit pump operation to periods when hot water is usually needed, this canned rotor pump houses its pump and motor in a single integral unit with no shaft seal and just two gaskets for sealing, keeping maintenance costs to an absolute minimum.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos UPS 40-50FN hotwater system circulating pump no flanges 1 ph,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/10/NW-149305_149310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,P141412,Grundfos MAGNA3 32-60 180 1X230V,Grundfos,841.11,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 32 - 60 single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos MAGNA3 32-60 180 1X230V,,MAGNA3 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-141406_141414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,,,,,,,,,,,,,
65,P126232,"Grundfos MAGNA 1 circulating pump 220mm x 1"" 230V PN6/10",Grundfos,1978.8,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 40 - 60 F N circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating. MAGNA1 N is the stainless steel version of this pump, ideal for domestic hot water requirements.","Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos MAGNA 1 circulating pump 220mm x 1"" 230V PN6/10",,MAGNA1 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/32/NW-126232_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,
66,P104448,Wilo Top-Z 40/7 commercial hot water pump,Wilo,2058.0,"A bronze secondary hot water pump with thermal insulation and three pre-selectable speed stages for power adjustment.  The Wilo Top-Z circulation pump comes with internal protection against unacceptably high winding temperatures and full motor protection.  This glandless circulation pump be used in commercial buildings for hot water circulation systems, suitable for drinking water only.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Top-Z 40/7 commercial hot water pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/48/NW-104448_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,P145034,Wilo Top-Z 30/7 PN10 commercial hot water pump,Wilo,1182.0,"A stainless steel secondary hot water pump with thermal insulation, internal protection against unacceptably high winding temperatures and three pre-selectable speed stages for power adjustment.  Option to add a Protect Module C which offers additional functions to prevent failure including blocking detection, integrated full motor protection with tripping unit and fault acknowledgement.   The Wilo Top-Z is a glandless circulation pump be used in commercial buildings for hot water circulation systems, suitable for drinking water only.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Top-Z 30/7 PN10 commercial hot water pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/34/NW-145034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,P141702,Wilo Stratos Maxo-D R7 40/0.5-8 PN6/10 twin head commercial pump,Wilo,2841.3,"The Wilo Stratos Maxo-D R7 is an easy to use smart pump with one touch commisioning, EC motor, electronic power adjustment and permanent, automatic performance adaptation for optimum energy efficiency. The R7 version does not include an internal temperature sensor.  This twin head smart-pump has a range of functions for reliable use including heating and cooling quantity measurement, dry running detection and automatic No-Flow Stop, which deactivates the pump when no flow is detected.  Each pump operates individually with one main pump and one pump on standby, meaning if any faults are detected the pumps will automatically switch over to prevent failure.  This is an inline glandless pump, suitable to be used in domestic or light commercial buildings for all central heating, cooling, underfloor heating, water/glycol mixtures and air conditioning systems.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos Maxo-D R7 40/0.5-8 PN6/10 twin head commercial pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/37/NW-146637_wm.jpg,,,,Grey,20.0 m³/h,Stratos Maxo D,230,3 Years,1,N,0.28 kW,339,3750,IPX4D,50,10 bar,"EN 61800-3;2004+A1;2012 /residential area (C1), EN 61800-3;2004+A1;2012 /industrial environment (C2)",2217975,Twin-Head Pump,N,Compatible with the Wilo-Assistant app for commissioning protocol via Bluetooth.,Automatic pump venting function and full motor protection to prevent failure,"Thermal insulation shell for increasing energy efficiency, saving you money",Ability to save and restore configured pump settings,Plug & play wiring with the Wilo connection plug – no tools needed!,Easy to use design featuring a large LCD display for easy commissioning.,,Automatic setback operation & deblocking function,Adjustable volume flow limiter,Energy efficiency index (EEI) of less than 0.18,Fluid temperature -10°C to +90°C,Max operating pressure: 10 bar,Port-to-port length: 220mm,Pipe connection: Flange DN 40,Max head: 8m,,,,,,,,,,,
69,P141661,Wilo Stratos MAXO 25/05-8 R7,Wilo,729.96,"Suitable for domestic or light commercial use, the Wilo Stratos Maxo 25/05-8 R7 is compatible with central heating, cooling, underfloor heating and air conditioning systems and can be used with water/glycol mixtures. An inline glandless smart pump with one touch commissioning, Maxo incorporates an EC motor and electronic power adjustment as well as efficiency enhancing permeant automatic performance adaptation. A range of clever features, including heating and cooling quantity measurement and dry running detection are included. Automatic no-flow stop, meanwhile, deactivates the pump in the absence of flow, reducing the risk of dry-running damage.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos MAXO 25/05-8 R7,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/62/NW-146561_146562_wm.jpg,,,,Black/Green,,Stratos,,,,N,0.16 kW,,,,,,CE;EAC;VDE,2217894,,N,Compatible with Wilo-Assistant app for commissioning via Bluetooth,Automatic pump venting function and full motor protection prevents failure,Thermal insulation shell for efficiency,Ability to save and restore configured pump settings,Plug-and-play wiring with Wilo connection plug,No tools required for installation,,Large LCD display for easy commissioning,Automatic setback operation and deblocking function,Adjustable volume flow limiter,Energy efficiency index (EEI) of less than 0.19,Fluid temperature -10°C to +90°C,Maximum operating pressure of 10 bar,Port-to-port length 180mm,Threaded G 1½ pipe connection,Maximum head 8M,IPX4D rated,3 year warranty,,,,,,,,
70,P141704,Wilo Stratos Maxo-D R7 40/0.5-16 PN6/10 twin head commercial pump,Wilo,4264.26,"The Wilo Stratos Maxo-D R7 is an easy to use smart pump with one touch commisioning, EC motor, electronic power adjustment and permanent, automatic performance adaptation for optimum energy efficiency. The R7 version does not include an internal temperature sensor.  This twin head smart-pump has a range of functions for reliable use including heating and cooling quantity measurement, dry running detection and automatic No-Flow Stop, which deactivates the pump when no flow is detected.  Each pump operates individually with one main pump and one pump on standby, meaning if any faults are detected the pumps will automatically switch over to prevent failure.  This is an inline glandless pump, suitable to be used in domestic or light commercial buildings for all central heating, cooling, underfloor heating, water/glycol mixtures and air conditioning systems.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos Maxo-D R7 40/0.5-16 PN6/10 twin head commercial pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/39/NW-146639_wm.jpg,,,,Grey,27.5 m³/h,Stratos Maxo D,230,3 Years,1,N,640 kW,378,3850,IPX4D,50,10 bar,"EN 61800-3;2004+A1;2012 /residential area (C1), EN 61800-3;2004+A1;2012 /industrial environment (C2)",2217977,Circulating Pump,N,Compatible with the Wilo-Assistant app for commissioning protocol via Bluetooth.,Automatic pump venting function and full motor protection to prevent failure,"Thermal insulation shell for increasing energy efficiency, saving you money",Ability to save and restore configured pump settings,Plug & play wiring with the Wilo connection plug – no tools needed!,Easy to use design featuring a large LCD display for easy commissioning.,,Automatic setback operation & deblocking function,Adjustable volume flow limiter,Energy efficiency index (EEI) of less than 0.17,Fluid temperature -10°C to +90°C,Max operating pressure: 10 bar,Port-to-port length: 250mm,Pipe connection: Flange DN 40,Max head: 16m,,,,,,,,,,,
71,P141682,Wilo Stratos MAXO 50/05-9 R7,Wilo,2450.91,"Designed with plug-and-play wiring with the Wilo connection plug for tool-free installation, the Wilo MAXO 50/05-9 R7 circulating pump offers compatibility with the Wilo-Assistant app for commissioning via Bluetooth. Thermally insulated for improved efficiency, this pump has an automatic venting function and full motor protection to prevent failure and the option to save and restore configured pump settings for increased convenience. Easy to commission, the R7 has a large LCD display along with automatic setback operation, a deblocking function and adjustable volume flow limiter.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos MAXO 50/05-9 R7,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/82/141682_wm.jpg,,,,Black/Green,34.7 m³/h,Stratos,230,3 Years,1,N,456 kW,280,650 - 3050,IPX4D,50/60,6/10 bar,"REACH, CE, EAC",2217955,Commercial Circulator Pump,N,Easy to use,One touch commisioning,With EC motor and electronic power adjustment,"Permanent, automatic performance adaptation for EEI of less than 0.17",Does not include internal temperature sensor,Suitable for heating and cooling quantity measurement,,Offers dry running detection,Automatic No-Flow Stop deactivates pump when no flow is detected,Suitable for domestic or light commercial use,Compatible with central heating and cooling,Can be used in underfloor heating and air con systems,Suitable for water/glycol mixtures,Fluid temperature -10°C to +90°C,Maximum operating pressure 10 bar,Port-to-port length 280mm,DN 50 flange connection,Maximum head 9M,IPX4D protection,REACH compliant,,,,CE marked,EAC compliant,3 year warranty
72,P141711,Wilo Stratos MAXO-D 65/05-12 R7,Wilo,5824.28,"Bluetooth-enabled, the Wilo Stratos Maxo 65-05-12 R7 pump offers compatibility with the Wilo-Assistant app for smartphone commissioning. Preventing failure issues, this unit includes an automatic pump venting function and full motor protection while a thermal insulation shell increases efficiency. The Stratos Maxo has the ability to save and restore configured pump settings for quicker, easier resetting. Making tool-free installation simple, this pump uses the plug-and-play Wilo connection plug.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos MAXO-D 65/05-12 R7,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/11/141711_wm.jpg,,,,Black/Green,45.0 m³/h,Stratos,230,3 Years,1,N,950 kW,340,500 - 3000,IPX4D,50/60,6/10 bar,"REACH, CE, EAC",2217984,Commercial Circulator Pump,N,With one touch commisioning,With EC motor and electronic power adjustment,"Permanent, automatic performance adaptation for optimum energy efficiency",Offers heating and cooling quantity measurement and dry running detection,Automatic No-Flow Stop deactivates pump when no flow is detected,Suitable for domestic or light commercial buildings,,"Compatible with all central heating, cooling and underfloor heating systems",Suitable for water/glycol mixtures and air conditioning systems,Large LCD display for easy commissioning.,Automatic setback operation and deblocking function,Adjustable volume flow limiter,Energy efficiency index (EEI) of less than 0.17,Fluid temperature -10°C to +90°C,Maximum operating pressure of 10 bar,Port-to-port length of 340mm,Flange DN 65 connection,Maximum head of 12M,IPX4D rated,3 year warranty,,,,,,
73,P141701,Wilo Stratos maxo-D 32/05-12 R7,Wilo,3220.14,"Highly efficient, the Wilo Stratos maxo-D 32/05-12 R7 inline glandless twin head pump is fitted with an EC motor and offers electronic power adjustment. Suitable for use with cold water, heating water and water/glycol mixtures, this pump has a range of functions for reliable use, including heat and cooling quantity measurement and automatic No-Flow Stop, which deactivates the pump when no flow is detected.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos maxo-D 32/05-12 R7,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/98/NW-105296_105298_wm.jpg,,,,Grey,17.1 m³/h,Stratos,230,3 Years,1,N,0.266 kW,195,750 - 4400,IPX4D,50,10 bar,Interference emission: EN 61800-3;2004+A1;2012 /residential area (C1)Interference immunity: EN 61800-3;2004+A1;2012 /industrial environment (C2),2217974,Circulating Pump,N,"Auto, external or manual switchover between heating and cooling",Adjustable volume flow limiter using Q-Limit function,"Efficiency-optimised parallel operation for dp-c and dp-v, main and standby operation for pumps",Configured pump settings can be saved and restored using 3x restoration points,Plain text fault and warning messages with advice,Pump venting function for automatic venting of rotor chamber,,Automatic setback operation,Automatic deblocking function,Integrated full motor protection,Dry-running detection,IPX4D protection,3 year warranty,,,,,,,,,,,,,
74,P141703,Wilo Stratos Maxo-D R7 40/0.5-12 PN6/10 twin head commercial pump,Wilo,3779.93,"The Wilo Stratos Maxo-D R7 is an easy to use smart pump with one touch commisioning, EC motor, electronic power adjustment and permanent, automatic performance adaptation for optimum energy efficiency. The R7 version does not include an internal temperature sensor.  This twin head smart-pump has a range of functions for reliable use including heating and cooling quantity measurement, dry running detection and automatic No-Flow Stop, which deactivates the pump when no flow is detected.  Each pump operates individually with one main pump and one pump on standby, meaning if any faults are detected the pumps will automatically switch over to prevent failure.  This is an inline glandless pump, suitable to be used in domestic or light commercial buildings for all central heating, cooling, underfloor heating, water/glycol mixtures and air conditioning systems.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos Maxo-D R7 40/0.5-12 PN6/10 twin head commercial pump,,IPX4D,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/98/NW-105296_105298_wm.jpg,,,,Black / Green / Grey,0-10.8 L/sec,Stratos Maxo D,230,3 Year Limited,1,N,1.14 kW,378,750 - 4350,IPX4D,5560,10 bar,REACHCEEACUKCA,2217976,Circulator Pump,N,Compatible with the Wilo-Assistant app for commissioning protocol via Bluetooth.,Automatic pump venting function and full motor protection to prevent failure,"Thermal insulation shell for increasing energy efficiency, saving you money",Ability to save and restore configured pump settings,Plug & play wiring with the Wilo connection plug – no tools needed!,Easy to use design featuring a large LCD display for easy commissioning.,,Automatic setback operation & deblocking function,Adjustable volume flow limiter,Energy efficiency index (EEI) of less than 0.18,Fluid temperature -10°C to +90°C,Max operating pressure: 10 bar,Port-to-port length: 220mm,Pipe connection: Flange DN 40,Max head: 12m,,,,,,,,,,,
75,P141700,Wilo Stratos MAXO D 32/05-8 R7,Wilo,1985.06,"Bluetooth-enabled, the Wilo Stratos Maxo D 32/05-8 R7 pump offers compatibility with the Wilo-Assistant app for smartphone commissioning. Preventing failure issues, this unit includes an automatic pump venting function and full motor protection while a thermal insulation shell increases efficiency. The Stratos Maxo has the ability to save and restore configured pump settings for quicker, easier resetting. Making tool-free installation simple, this pump uses the plug-and-play Wilo connection plug.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos MAXO D 32/05-8 R7,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/00/141700_wm.jpg,,,,Black/Green,18.0 m³/h,Stratos,230,3 Years,1,N,160 kW,220,750 - 3550,IPX4D,50/60,6/10 bar,"REACH, CE, EAC",2217973,Commercial Circulator Pump,N,With one touch commisioning,With EC motor and electronic power adjustment,"Permanent, automatic performance adaptation for optimum energy efficiency",Offers heating and cooling quantity measurement and dry running detection,Automatic No-Flow Stop deactivates pump when no flow is detected,Suitable for domestic or light commercial buildings,,"Compatible with all central heating, cooling and underfloor heating systems",Suitable for water/glycol mixtures and air conditioning systems,Large LCD display for easy commissioning.,Automatic setback operation and deblocking function,Adjustable volume flow limiter,Energy efficiency index (EEI) of less than 0.19,Fluid temperature -10°C to +90°C,Maximum operating pressure of 10 bar,Port-to-port length of 220mm,Flange DN 32 connection,Maximum head of 8M,IPX4D rated,3 year warranty,,,,,,
