,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Connection Type,Operating Temperature,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 6
13,PD69017,Zip Aquapoint AP3/05OB over sink water heater 5ltr,Zip,239.92,"Connecting directly to the mains water supply, the oversink 5L Zip Aquapoint III AP3/05OB unvented water heater is capable of serving fast and plentiful hot water to multiple outlets via conventional taps and mixers. Well-protected and tested for reliability and longevity, the 2kW Aquapoint III is ErP A-rated, ensuring less waste and potential cost savings.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Zip Aquapoint AP3/05OB over sink water heater 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/19/D69017_D69019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL_spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Zip_Aquapoint_III_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Aquapoint_III_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PD68960,Santon Aquarius A7/3 over sink water heater 7ltr 3kW pack,Santon,111.99,"The 7L Santon Aquarius A7/3 oversink vented water heater is designed for convenient point-of-use installation ideal for handwashing and dishwashing. Supplied with a valve, spout and fixtures, the 3kW Aquarius provides straightforward installation and thanks to an easily removed heater plate, maintenance is simple too.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Santon Aquarius A7/3 over sink water heater 7ltr 3kW pack,,Water heater;Fixing screws ;plugs;Spout;Valve;Installation ;user instructions;Guarantee card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/60/D68160_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aquarius_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Aquarius_Oversink_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PD69995,Ariston Andris Lux 10 10L Over Sink 3kW,Ariston,247.32,"Featuring cutting-edge Italian design, the Ariston Andris Europrisma 10L unvented electric oversink water heater offers excellent hot water performance and simple, straightforward operation. This easy to install, ErP A-rated unit includes a tough titanium-enamel tank insulated with eco-friendly materials for high levels of efficiency and heat retention alongside reliable durability.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux 10 10L Over Sink 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/97/D69995_D69997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_AndrisLux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_ANDRISLUX_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_AndrisLux_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_AndrisLux_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PD68962,Santon Aquarius A10/3 over sink water heater 10ltr 3kW pack,Santon,229.99,"The 10L Santon Aquarius A10/3 oversink vented water heater is designed for convenient point-of-use installation ideal for handwashing and dishwashing. Supplied with a valve, spout and fixtures, the 3kW Aquarius provides straightforward installation and thanks to an easily removed heater plate, maintenance is simple too.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Santon Aquarius A10/3 over sink water heater 10ltr 3kW pack,,Water heater;Fixing screws ;plugs;Spout;Valve;Installation ;user instructions;Guarantee card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/61/D68961_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aquarius_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Aquarius_Oversink_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PD70790,Heatrae Sadia Express 7 water heater 7ltr 3kw,Heatrae Sadia,218.85,"The efficient, easy to install Heatrae Sadia Express 7L vented water heater is equally suitable for domestic and commercial applications. Heating water using a factory-fitted electric heating element and thermostatically controlled by an adjustable thermostat, this ErP A-rated 3kW cistern-fed water heater is vented for added safety.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Express 7 water heater 7ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/di/a2/D70785_pg_heatraesadia2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Express_7_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Megalife_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P112170,Hyco Handyflow undersink vented point of use water heater 5 litres,Hyco,147.69,"Ideal for use where light dishwashing chores are carried out, the Hyco Handyflow 5L under-sink vented point of use water heater is a great choice for office kitchens, portable buildings, garages or workshops. A slimline unit, this open outlet water heater can be tucked away in an under-sink cupboard to help save on space while a frost protection setting minimises the risk of damage in poorly heated spaces or during those times when a building is unoccupied.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Hyco Handyflow undersink vented point of use water heater 5 litres,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/39/596339_wm.jpg,,,,,,White,Compression,Capillary type thermostat adjustable to approx. 80E setting approx. 55,1 Year Parts or Replacement Warranty.,3.5kg(empty)8.2kg(full),N,XXS,N/A,2 kW,180,6 mins,No,8,75,Single,Manual,No,A,IP24,"Easy Clean, High Impact Plastic",116.03,14.5,Floor Standing or Wall Mounted,Cold water connection 1 x 15mm compressionOutlet 1 x vented tap (supplied)Fittings required (not supplied): ,HF05MVC,N,5 l,White colour,For supply to single sink,Slimline profile with a depth of 7” (180mm),Suitable for under-sink installation,With 2kW element,Supplied with vented mixer tap and hoses,Pre-wired with 1M cable,"Thermal cut-out can be reset, no need for replacement",6 minute reheat time,External temperature control with frost protection setting,Neon element on indicator,"No requirement for expansion vessel, relief valve or reducing valve",1 year parts or replacement warranty,
19,P112169,Hyco 5 litre handyflow oversink point of use vented water heater,Hyco,103.08,"A slimline unit offering hot water to a single sink, the Hyco Handyflow 5L oversink point of use vented water heater is ideal for rooms in which space is limited. Easy to install thanks to the supplied components, including a pre-wired cable and wall fixing bracket, this water heater comes complete with a tap and chrome spout.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Hyco 5 litre handyflow oversink point of use vented water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/38/596338_wm.jpg,,,,,,White,Inlet Valve/ tap 1 x 15mm Compression. Outlet 1 x Chrome Plated Brass Spray Arm,Adjustable to approx. 80°C. E Setting Approx. 55°C.,1 Year Parts or Replacement Warranty.,Empty:2.9kgFull: 7.9kg,N,XXS,16dB,2 kW,180,6 mins,No,8.0,Capillary type adjustable to approx. 80E setting approx. 55 C,Single,Manual,No,A,IP24,"Easy Clean, High Impact Plastic",116.03,14.5,Wall Mounted,Inlet valve/tap 1 x 15mm compression. Outlet 1 x chrome plated brass spray arm. Fittings required (not supplied): .,HF05LM,N,5 l,Supplies hot water to a single sink,Easy installation,"Slimline 7"" depth profile",With tap and chrome spout,Thermal cut-out can be reset rather than replaced,With 2.0 kW element,External temperature control with frost protection setting,Neon element on indicator,Wall fixing bracket included,Pre-wired 1M cable saves time on installation,"No need for expansion vessel, relief valve or reducing valve",1 year parts or replacement warranty,,
20,PD69997,"Ariston Andris Lux 15 30L Over Sink 3kW (Including Kits A, B, & C)",Ariston,674.89,"Featuring cutting-edge Italian design, the Ariston Andris Lux 30L unvented electric oversink water heater offers excellent hot water performance and simple, straightforward operation. This easy to install 3kW unit includes a tough titanium-enamel tank insulated with eco-friendly materials for high levels of efficiency and heat retention alongside reliable durability.","Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux 15 30L Over Sink 3kW (Including Kits A, B, & C)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/97/D69995_D69997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_AndrisLux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_ANDRISLUX_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_AndrisLux_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_AndrisLux_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PD69025,Zip Varipoint II VP103 oversink water heater 10ltr,Zip,586.06,"The 10L Zip Varipoint II VP103 unvented oversink water heater is suitable for direct connection to incoming mains water supplies, delivering reliable hot water to one or more conventional tap outlets. The ErP A-rated Varipoint II has a tough, impact-resistant casing and highly efficient insulation while an adjustable thermostat provides flexibility and comfort for handwashing and other hot water tasks.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Zip Varipoint II VP103 oversink water heater 10ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/28/D69025_D69028_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL_spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_DL spreads_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Varipoint II_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Varipoint_II_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Zip_Varipoint_II_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_Brochure.pdf
22,PD73811,"Ariston Andris Lux Eco 3820018 oversink electric water heater 2.5kw 30ltr plus kits a, b and c pack",Ariston,490.0,"Ideal for use in those places where safety is of utmost concern, the Ariston Andris Lux Eco 30L electric storage water heater with built-in anti-Legionella system is suitable for installation in schools, hospitals and care homes, as well as homes and light commercial premises. Extremely efficient, this 2.5kW storage water heater has a tough titanium enamelled tank and offers fast reheat times. With the Lux Eco's 'Eco Evo' function daily usage is remembered for comfort and savings of up to 15% on energy bills.","Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux Eco 3820018 oversink electric water heater 2.5kw 30ltr plus kits a, b and c pack",,D69924 water heater;Unvented kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/11/NW-D73809_D73811_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_Andris_Lux_Eco_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Ariston_Unvented_Water_Heater_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Eco_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Ariston_AndrisLuxEco_30_2_5KW_EU_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PD70785,Heatrae Sadia Express 7 water heater 7ltr 1kw,Heatrae Sadia,218.0,"The efficient, easy to install Heatrae Sadia Express 7L vented water heater is equally suitable for domestic and commercial applications. Heating water using a factory-fitted electric heating element and thermostatically controlled by an adjustable thermostat, this ErP A-rated 1kW cistern-fed water heater is vented for added safety.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Express 7 water heater 7ltr 1kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/85/D70785_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Express_7_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Megalife_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PD68289,Heatrae Sadia Hotflo 50V water heater 50ltr 3kW,Heatrae Sadia,1046.45,"Perfect for installation in light commercial settings, the 50L capacity Heatrae Sadia Hotflo 50V vertical unvented water heater provides useful handwashing, pot-filling and tea-making facilities in canteens, washrooms and kitchens. Manufactured from robust stainless steel and featuring inbuilt pressure and temperature control, this safe, reliable 3kW water heater offers generous, convenient delivery with minimal maintenance requirements.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Heatrae Sadia Hotflo 50V water heater 50ltr 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/tf/lo/Hotflo_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Hotflo_50_100_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Hotflo_Vert_50_100_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PD49995,Ariston Andris Lux 10 oversink electric water heater 3kw 10ltr pack,Ariston,141.66,"Built to last, the Ariston Andris Lux 10L electric storage water heater is made up of a titanium-enamel tank with eco-friendly insulation. Resistant to pressure and corrosion, thanks to smart shell technology, this 3kW storage water heater is extremely robust, and it looks great in-situ too. Carefully built to meet the world's strictest safety standard, the Andris Lux is equipped with multiple safety devices working in harmony to ensure safe comfort for all users.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux 10 oversink electric water heater 3kw 10ltr pack,,EP unvented water heater;Wall bracket;Pressure relief valve set at 6 bar;2x dielectric junctions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/95/NW-D49995_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/AristonHT_WHeater_UcylinderCatalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Ariston_Andris_Lux_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PD69996,Ariston Andris Lux 15 15L Over Sink 3kW,Ariston,281.97,"Featuring cutting-edge Italian design, the Ariston Andris Europrisma 15L unvented electric oversink water heater offers excellent hot water performance and simple, straightforward operation. This easy to install, ErP A-rated unit includes a tough titanium-enamel tank insulated with eco-friendly materials for high levels of efficiency and heat retention alongside reliable durability.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux 15 15L Over Sink 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/97/D69995_D69997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_AndrisLux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_ANDRISLUX_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_AndrisLux_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_AndrisLux_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PD49996,Ariston Andris Lux 15 oversink electric water heater 3kw 15ltr pack,Ariston,146.0,"Built to last, the Ariston Andris Lux 15L electric storage water heater is made up of a titanium-enamel tank with eco-friendly insulation. Resistant to pressure and corrosion, thanks to smart shell technology, this 3kW storage water heater is extremely robust, and it looks great in-situ too. Carefully built to meet the world's strictest safety standard, the Andris Lux is equipped with multiple safety devices working in harmony to ensure safe comfort for all users.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux 15 oversink electric water heater 3kw 15ltr pack,,EP unvented water heater;Wall bracket;Pressure relief valve set at 6 bar;2x dielectric junctions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/96/NW-D49996_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/AristonHT_WHeater_UcylinderCatalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Ariston_Andris_Lux_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PD68905,Elson EOS EOS7 vented over sink water heater 7ltr,Elson,193.6,"Ideal for light commercial use and particularly for temporary buildings, the Elson EOS7 7L oversink vented water heater is capable of producing reliable hot water even where power supplies are limited. Using water supplied directly by the mains and heated with a 3kW element to a maximum of 70°C, the EOS7 offers fast recovery times for convenient handwashing.",Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Elson EOS EOS7 vented over sink water heater 7ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/05/D68905_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Elson_Vented_WH_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PD69924,"Ariston Andris Lux Eco 3820018 30L Over Sink 2.5kW (Including Kits A, B, & C)",Ariston,779.88,"Ariston's 30L storage Andris Lux Eco is a compact unvented electric water heater, designed to suit a wide range of locations, from building sites to office bathrooms or coffee shop kitchens. Incorporating Italian design alongside ErP A-rated energy efficiency, plus durability and performance you can rely on, the premium 2.5kW Andris Lux Eco includes cutting-edge anti-legionella and anti-overheating functions for safe commercial use.","Water Heating and Storage/Water Heaters/Point Of Use Water Heaters/Oversink Water Heaters/Oversink Water Heaters.csv -> Ariston Andris Lux Eco 3820018 30L Over Sink 2.5kW (Including Kits A, B, & C)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/24/D69920_D69924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/o_/ds/Ariston_AndrisLuxEco_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_AndrisLuxEco_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_AndrisLuxEco_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
