,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Dry Weight (kg),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Colour,Max High Level Flue Length (metres),Seasonal Space Heating Energy Efficiency %,Pack Quantity,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Flow Rate,Feature 19,Attachment 6,Attachment 7,Attachment 8
10,P333185,Worcester Bosch Greenstar 4000 System GR4700iW 24 S NG system boiler only 24kW,Worcester Bosch,1197.0,"Providing excellent levels of efficiency, the Worcester Bosch Greenstar 4000 System GR4700iW 24 S NG system boiler has earned a top-notch ErP A rating, helping homeowners to minimise waste and even save on energy costs. Designed to look good as well as perform reliably, this 24kW wall-mounted condensing system boiler provides ease of servicing for the engineer as well as intuitive operation for the owner.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar 4000 System GR4700iW 24 S NG system boiler only 24kW,,Wall mounted gas-fired condensing system appliance;Wall mounting frame;Bottom panel;Siphon;PRV installer connection elbow;Hardware literature pack;Installation ;maintenance instructions;User instructions;Wall mounting template;PRV installer connection el,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/85/333179_333185_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_24_S_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,
11,P125239,Ideal Heating Logic 228377 logic max system 2 S18,Ideal Heating,1099.71,"Part of the award-winning Logic range, the Ideal Logic Max2 S18 System boiler has been designed for complete compatibility with Halo smart thermostats, making running your home heating simple, even when you're on the go. Easy to install into most kitchen or utility room cupboards, this neatly designed 18kW system boiler is commissioned and operated vis a high resolution colour screen. A-rated for its high levels of efficiency, the Logic Max System is the perfect choice for homes where running costs and carbon footprints are of real concern.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Ideal Heating Logic 228377 logic max system 2 S18,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/41/125238_125241_wm.jpg,Natural Gas,Logic,10 Years,31.1,A,N,A,18 kW,310,,31.1,89.7,Wall Mounted,228377,Boiler,N,"For wall mounted installation<multisep/>Compact fit for in-cupboard installation<multisep/>Built in the UK<multisep/>Operated using large, high res colour screen<multisep/>Compatible with Halo smart programmable thermostat range<multisep/>High quality brass system filter protects system<multisep/>ErP A rated for efficiency<multisep/>10 year parts and labour warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P333768,Vaillant ecoFIT pure System 618 boiler,Vaillant,1163.0,"Featuring a reliable and efficient aluminium heat exchanger, the Vaillant ecoFIT pure 618 system boiler offers powerful operation along with an ErP A rating. Easy to install, this compact 18kW boiler is lightweight for ease of handling and will fit effortlessly into a standard kitchen cupboard. Operating quietly wherever it's located, the ecoFIT pure is compatible with a wide variety of heating controls for convenient and intuitive use as part of a smart home system.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Vaillant ecoFIT pure System 618 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/st/em/Ecofit_Pure_System_wm.jpg,Natural Gas,ecoFIT pure System,2 Year,31 kg,A,N,,18 kW,295,,31,89.7,Wall Hung,333768 PK,System Boiler Pack,N,Compact cupboard-fit,Lightweight,Rear flue option available,"Quiet Mark approved, one of the quietest products in its category",High performance build,Smart controls,Aluminium heat exchanger offers low energy consumption,"Compatible with a full range of heating control options, from simple analogue timers to vSMART smartphone app",2 year warranty,,,,,,,,,,White/Gloss,10,A,,,,,,,,,,,
13,P128803,Ideal Heating Logic 228352 logic system 2 S15 (1),Ideal Heating,837.55,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic2 System S15 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 15kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Logic2 System simple while an A rating for efficiency helps to minimise running costs.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Ideal Heating Logic 228352 logic system 2 S15 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/06/128803_128806_wm.jpg,Natural Gas,Logic,2,31.1,A,N,A,15 kW,310,,31.1,89.4,Wall Mounted,228352,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
14,P333183,Worcester Bosch Greenstar 4000 System GR4700iW 18 S NG system boiler only 18kW,Worcester Bosch,1074.0,"Providing excellent levels of efficiency, the Worcester Bosch Greenstar 4000 System GR4700iW 18 S NG system boiler has earned a top-notch ErP A rating, helping homeowners to minimise waste and even save on energy costs. Designed to look good as well as perform reliably, this 18kW wall-mounted condensing system boiler provides ease of servicing for the engineer as well as intuitive operation for the owner.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar 4000 System GR4700iW 18 S NG system boiler only 18kW,,Wall mounted gas-fired condensing system appliance;Wall mounting frame;Bottom panel;Siphon;PRV installer connection elbow;Hardware literature pack;Installation ;maintenance instructions;User instructions;Wall mounting template;PRV installer connection el,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/85/333179_333185_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_18_S_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,
15,P333181,Worcester Bosch Greenstar 4000 System GR4700iW 12 S NG system boiler only 12kW,Worcester Bosch,977.0,"Providing excellent levels of efficiency, the Worcester Bosch Greenstar 4000 System GR4700iW 12 S NG system boiler has earned a top-notch ErP A rating, helping homeowners to minimise waste and even save on energy costs. Designed to look good as well as perform reliably, this 12kW wall-mounted condensing system boiler provides ease of servicing for the engineer as well as intuitive operation for the owner.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar 4000 System GR4700iW 12 S NG system boiler only 12kW,,Wall mounted gas-fired condensing system appliance;Wall mounting frame;Bottom panel;Siphon;PRV installer connection elbow;Hardware literature pack;Installation ;maintenance instructions;User instructions;Wall mounting template;PRV installer connection el,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/85/333179_333185_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_12_S_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,
16,P333860,Worcester Bosch Greenstar i System Compact ErP 30i NG boiler,Worcester Bosch,1253.0,"The Worcester Bosch Greenstar 30i ErP NG system boiler is an ultra-modern compact and lightweight boiler designed to maximise available space in homes of just about any size. Highly reliable and extremely durable, this ErP A-rated boiler incorporates a low energy pump for reduced electrical requirements and a simple, clear display and controls for error-free operation. Compatible with a range of Worcester controls and the brand's Greenskies solar panels, the Greenstar is suitable for use as part of an advanced eco-friendly heating system.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar i System Compact ErP 30i NG boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ar/_i/Greenstar i_wm.jpg,Natural Gas,Greenstar i System Compact ErP,7 Years,27.3 kg,A,N,,30 kW,280,333860,27.3,92,Wall Hung,333860 PK,Condensing System Boiler,N,Small and lightweight wall-mounted boiler,Fits in a standard kitchen cupboard,Simple boiler control knobs,Clear temperature display,User-friendly display for easy operation,Low energy pump reduces electrical usage,Compatible with Worcester controls,Compatible with Greenskies solar panels,7 year warranty,,,,,,,,,,White/Gloss,,A,,,,,,,,,,,
17,P116015,Vaillant ecoFIT pure System 618 system boiler,Vaillant,1784.39,"Built for performance, the Vaillant ecoFIT pure 618 system boiler is fitted with a powerful aluminium heat exchanger for reliability and improved efficiency, earning it an ErP A rating. Compact and lightweight, this 18kW boiler makes installation flexible, with the option to cupboard fit in a standard kitchen unit and the quietest possible operation for added convenience in the smallest of spaces. Compatible with a range of heating controls, the ecoFit pure can form part of a smart, app-controlled home.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Vaillant ecoFIT pure System 618 system boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/17/116013_116017_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoFIT-Pure_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Valliant_ecoFIT_pure_Combi_Blr_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_SstemecoFITpure_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_System_ecoFIT_pure_Install.pdf,,,,,,
18,P333990,Worcester Bosch Greenstar 8000 Life GR8300iW 30 S NG system boiler pack 30kW White,Worcester Bosch,1366.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 30 S NG condensing system boiler is built on the foundations of the perennially popular Greenstar CDi Classic, maintaining the same high build quality but with a newly modern design and more convenient installation. With its low energy modulating pump, built-in frost protection and compatibility with solar power, this ErP A-rated system boiler helps the user to enjoy reduced utility bills and enhanced reliability throughout the lifetime of the boiler.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 30 S NG system boiler pack 30kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,Natural Gas,Greenstar 8000 Life,8 years,46 kg,A,N,A,30 kW,365,333990,46,94,Wall Hung,333990 PK,Condensing System Boiler,N,Pre-wired and pre-plumbed,Galvanised steel inner frame,Low energy modulating pump,Digital control system,Automatic ignition,Direct burner ignition electrodes,Requires a cylinder for storing hot water,Majority of components are built into the boiler for faster installation,Built-in frost protection,Built-in fault-finding diagnostics,Automatic gas valve,Modulating combustion air fan with speed regulator,CH temperature sensor and control,Pump anti-seizure protection,Flue gas temperature sensor,Condensate siphonic trap,Compatible with solar water heating systems,8 year warranty,,,,,,,,,,,,,,
19,P125229,Ideal Heating Logic 228371 logic plus system 2 S30,Ideal Heating,1162.74,The Ideal Logic+2 System boiler is the next evolution of our award-winning Logic range.,Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Ideal Heating Logic 228371 logic plus system 2 S30,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/29/125226_125229_wm.jpg,Natural Gas,Logic,7 Years,31.1,A,N,A,30 kW,310,,31.1,89.6,Wall Mounted,228371,Boiler,N,For wall mounting<multisep/>Compact size for cupboard fit<multisep/>UK built<multisep/>With concealed connections under boiler<multisep/>Fully compatible with easy-fit Halo controls<multisep/>Operated via large high resolution colour screen<multisep/>A-rated for efficiency<multisep/>7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P112954,Worcester Bosch Greenstar i Compact 30i NG system ErP boiler,Worcester Bosch,1398.7,"The Worcester Bosch Greenstar 30i ErP NG system boiler is an ultra-modern compact and lightweight boiler designed to maximise available space in homes of just about any size. Highly reliable and extremely durable, this ErP A-rated boiler incorporates a low energy pump for reduced electrical requirements and a simple, clear display and controls for error-free operation. Compatible with a range of Worcester controls and the brand's Greenskies solar panels, the Greenstar is suitable for use as part of an advanced eco-friendly heating system.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar i Compact 30i NG system ErP boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/55/112952_112955_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Gas_Consumer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/112954_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_27-30i_System_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/112954_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar27-30iSystm_Instruction.pdf,,,,,
21,P195895,Alpha E-Tec NX 28kW Combi Boiler,Alpha,721.53,"Lightweight, compact and quiet for ease of installation and siting, the Alpha E-Tec 28NX system boiler is fitted with an up-to-the-minute stainless steel heat exchanger for the highest levels of efficiency and reliability. Easy to commission and to operate, this modern 28kW system boiler is fitted with a newly designed clear, backlit display and control panel meaning that everyday tasks like setting times and temperatures are simpler than ever.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Alpha E-Tec NX 28kW Combi Boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/95/195895_wm.jpg,Natural Gas,,7 Years,3.8,A,N,A,28 kW,255,,,89.4,Wall Hung,3.033112,System Boiler,N,For wall mounted installation,Lightweight thermoplastic moulded stainless steel main heat exchanger,Revised double casing design for quieter operation,Backlit display for ease of operation,"Simple, modern control panel interface",With removable push-fit flue connection,Range output is fully adjustable,Fitted with Delta T variable speed pump,ErP A rating for improved efficiency,7 year warranty,,,,,,,,,,,,,,,,,,12.1,,,,
22,P141651,Worcester Bosch Greenstar 4000 GR4700iW 15 S NG system 15kw,Worcester Bosch,1158.0,"Providing excellent levels of efficiency, the Worcester Bosch Greenstar 4000 System GR4700iW 15 S NG system boiler has earned a top-notch ErP A rating, helping homeowners to minimise waste and even save on energy costs. Designed to look good as well as perform reliably, this 15kW wall-mounted condensing system boiler provides ease of servicing for the engineer as well as intuitive operation for the owner.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 15 S NG system 15kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,
23,P333112,Alpha E-Tec Nx 30kW System Boiler,Alpha,801.0,"Delivering excellent levels of energy efficiency for an ErP A rating, the Alpha E-Tec NXS 30kW system boiler features a reliable, lightweight stainless steel heat exchanger. Operating quietly thanks to its smart double casing design, this boiler is easy to operate via a modern control panel with clear, easy-read backlit display.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Alpha E-Tec Nx 30kW System Boiler,,Boiler with fittings pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,Natural Gas,,7 Years,3.28 kg,A,N,,30.4 kW,255,,328,89.5,Wall Mounted,333112 PK,System,N,Lightweight stainless steel main heat exchanger,Double casing design for quieter operation,Backlit display for ease of reading,Revised control panel interface,Removable push fit flue connection,Fully range output adjustable,Delta T variable speed operation pump,For wall mounted installation,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,
24,P333774,Vaillant ecoTEC plus 624 system boiler,Vaillant,1292.0,"Providing balanced hot water across multiple outlets, fitting the Vaillant ecoTEC plus 624 high efficiency system boiler means there's no need for a loft tank and no more worries about leaks and frost damage when the outside temperature drops. Compact in size, this extremely efficient boiler is easy to install and has an ErP A rating. Suitable for use with smart controls, the ecoTEC plus is fully compatible with alternative energy sources like solar water heating, helping homeowners to make savings on their energy bills while also reducing their environmental impact.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Vaillant ecoTEC plus 624 system boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/32/146432_wm.jpg,Natural Gas,ecoTEC plus,5 Year,37Kg,A,N,,24 kW,338,,,89.6,Wall Hung,333774 PK,System Boiler Pack,N,Compact and lightweight,"High performance, control and efficiency",Precision heating reduces fuel bills,"System components are built into the boiler, so there is no need for a cold water feed and expansion tank",Supplies constant hot water to a number of taps at the same time,"Wide range of compatible heating controls, from simple boiler timer to vSMART smartphone app",Compatible with solar water heating systems and heat pumps,5 year warranty,,,,,,,,,,,Red/Gloss,8,A,,,,,,,,,,,
25,P334029,Ideal Logic Max System S24 system boiler only pack,Ideal,1180.0,"The Ideal Logic Max System S24 boiler is compact and lightweight for easy installation in almost any location. ErP A-rated, this highly efficient heat only boiler can be used alongside a hot water cylinder for the supply of reliable domestic hot water and is compatible with a range of Ideal controls for additional flexibility and cost savings. The hardwearing Max Heat is straightforward to use, simple to service and requires minimal maintenance.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Ideal Logic Max System S24 system boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/41/125238_125241_wm.jpg,Natural Gas,Logic Max System,10 Years,26.1 kg,A,N,A,,278,334029,26.1,94,Wall Hung,334029 PK,Condensing System Boiler,N,Compact cupboard fit,Low lift weight,"Easy installation, commissioning and service",Hardwearing and scratch-resistant,Fan-assisted combustion,Full sequence automatic spark ignition,Large digital display,Easy to reach pressure gauge on front panel,Service timer with telephone number display/service display,Compatible with Ideal controls,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,,,,,,,,,,,,
26,P334017,Ideal Logic+ System S30 system boiler only pack,Ideal,1163.0,The Ideal Logic+ System S30 system boiler has been designed with quality in mind. This 30kW output unit is packed with premium features so whether you're working on a brand new installation or a re-fit you'll experience straightforward and fast fitting in any location while homeowners enjoy the convenience of a user-friendly digital display and the peace of mind that comes with inbuilt frost protection and ErP A-rated efficiency. Install the Logic+ System along with a cylinder for reliable hot water as well as comfortable central heating.,Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Ideal Logic+ System S30 system boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/st/em/Ideal_Logic_Plus_System_wm.jpg,Natural Gas,Logic+ System,,,,N,,,,334017,,,,334017 PK,Condensing System Boiler,N,Compact cupboard fit,Low lift weight,Wide range of additional flueing options,Pre-formed copper tails,Universal condensate connection,PRV wall outlet pipe included,Concealed pipe connections,No compartment ventilation,For use in sealed domestic systems,Large digital display,Full sequence automatic spark ignition,Fan-assisted combustion,Energy Saving Trust endorsed,Fully modulating operation to low outputs,Built-in frost protection,LPG conversion kit (available on 30kW),Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,White,,,,,,,,,,7 year warranty,,,
27,P333966,Worcester Bosch Greenstar 8000 Style GR8700iW 35 SB NG system boiler pack 35kW Black,Worcester Bosch,1683.0,"The Worcester Bosch Greenstar 8000 Style GR8700iW 35 SB NG system boiler is built with customer and installer feedback in mind, making it even more user-friendly than its predecessor, the popular Greenstar Cdi Classic. With quieter operation, hassle-free installation, commissioning and servicing, intuitive touchscreen operation and compatibility with Worcester Bosch's state-of-the-art Intelligent Filling System, this attractively designed, ErP A-rated combi is a winning addition to any contemporary home.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 35 SB NG system boiler pack 35kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/la/ck/WB_G_Style_Black_wm.jpg,Natural Gas,Greenstar 8000 Style,8 years,46 kg,A,N,A,,365,333966,46,94,Wall Hung,333966 PK,Condensing System Boiler,N,Improved installation and servicing,Easy replacement for CDi Classic with same fixing points and connections,Simple commissioning procedure with all the information to complete the Benchmark Checklist quickly,Design-led product aesthetics for contemporary homes,Quiet combustion chamber design,"Rapid diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Innovative and intuitive full colour text touchscreen boiler control display,Compatible with cutting edge Greenstar Intelligent Filling System,8 year guarantee,,,,,,,,,,,,,,,,,,,,,,,
28,P333184,Worcester Bosch Greenstar 4000 System GR4700iW 21 S NG system boiler only 21kW,Worcester Bosch,1140.0,"Providing excellent levels of efficiency, the Worcester Bosch Greenstar 4000 System GR4700iW 21 S NG system boiler has earned a top-notch ErP A rating, helping homeowners to minimise waste and even save on energy costs. Designed to look good as well as perform reliably, this 21kW wall-mounted condensing system boiler provides ease of servicing for the engineer as well as intuitive operation for the owner.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar 4000 System GR4700iW 21 S NG system boiler only 21kW,,Wall mounted gas-fired condensing system appliance;Wall mounting frame;Bottom panel;Siphon;PRV installer connection elbow;Hardware literature pack;Installation ;maintenance instructions;User instructions;Wall mounting template;PRV installer connection el,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/85/333179_333185_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/WB_GR4700iW_21_S_NG_ErP_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,
