,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Range,Hazardous,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Material,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Attachment 1,Weight,Size,Attachment 2,Material Type,Attachment 3,Attachment 4,Attachment 5
20,P171864,"Reliance Valves 315i dial-up pressure reducing valve 1.1/4""",Reliance Valves,232.7,"This Reliance Water Controls 315I commercial pressure reducing valve (PRV), includes a unique indicator for easy identification of the set pressure with no need for a pressure gauge. Rated to 25 bar inlet pressure and with an adjustable outlet pressure of 1 - 6 bar, this PRV includes a lockable adjustment knob and 1 1/4"" male x male BSP connections. Providing easy, flexible installation thanks to a single piece cartridge containing all functional components, an integral serviceable strainer and a rotatable sleeve with set pressure indicator, the 315I includes two downstream test points with brass plugs.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 315i dial-up pressure reducing valve 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/65/NW-171862_171865_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_315i_Commercial_Technical.pdf,,,,,,,
21,PK73278,Honeywell Home DF06 resi pressure red valve d06f-b  50,Honeywell Home,344.22,"The DF06 spring-loaded pressure reducing valve (PRV) with 50mm male x male threaded connections operates via a force equalizing system, the force of a diaphragm operating against the force of an adjustment spring. Where outlet pressure (diaphragm force) falls because when water is drawn, the force of the spring opens the valve increasing outlet pressure until forces are equal. Suitable for use in household settings as well as for industrial or commercial applications, the DF06 protects installations against excessive pressure from the supply, avoiding damage and reducing water waste while minimising flow noise.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home DF06 resi pressure red valve d06f-b  50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/78/NW-K73275_K73278_wm.jpg,50mm,Threaded,DF06,N,1.5,6,Male x Male,Brass,,WRASDVGWBSEN 1567UBAACSEN 806-2,D06F-2BGB,Pressure Reducing Valve,N,"Inlet pressure balancing, fluctuating inlet pressure does not affect outlet pressure",Brass construction,Valve insert of high quality synthetic material,Valve insert can be fully exchanged,Outlet pressure is set by turning adjustment knob,Set pressure directly indicated on set point scale,Adjustment spring is not in contact with drinking water,Integral fine filter,Also available without fittings,Minimum outlet pressure 1.5 bar,Maximum outlet pressure 6 bar,Conforms to BS EN1567,All materials conform to UBA,All materials are ACS approved,WRAS approved,DVGW approved,Meets EN 806-2,,,,,,50,,,,,
22,P870524,JG Speedfit 312 Compact pressure reducing valve 22mm,JG Speedfit,66.09,"This Reliance Water Controls 312 compact pressure reducing valve (PRV) controls system water pressure, protecting taps, showers, dishwashers and other parts or appliances from damage caused by excessively high pressure. Suitable for installation in small spaces, with working components contained in a small, easily replaced single-piece cartridge, this RWC PRV includes 22mm female x female push-fit connections and downstream test ports on either side of the valve for accurately setting the outlet pressure anywhere between 1.5 and 6 bar.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> JG Speedfit 312 Compact pressure reducing valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/24/NW-870523_870524_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_312_Compact_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_312_Compact_Installation.pdf,,,,
23,P171481,"Reliance Valves 104 PREL104010 pressure relief valve 3/4"" 6bar",Reliance Valves,49.38,"Helping to protect an unvented hot water system from the dangers of overpressure, this Reliance Water Controls 104 pressure relief valve with 3/4"" female BSP connections is pre-set to a 6 bar pressure limit. Made of robust DZR brass, this valve has a simple single-piece cartridge for easy cleaning or replacement.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 104 PREL104010 pressure relief valve 3/4"" 6bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/81/NW-171481_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_104_Potable_Water_PRV_Technical.pdf,,,,,,,
24,PU10660,Pegler Valve RES1 valve MF 3/4x1,Pegler,174.65,"Offering 3/4 x 1"" BSP connections, this Pegler Yorkshire ResiFlow RES1 pressure reducing valve is comprised of a low lead CC768S silicon bronze body and a DZR brass/CW511 inlet valve. It includes a concentric class D water meter and capped water meter connection.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Pegler Valve RES1 valve MF 3/4x1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/12/580512_wm.jpg,3/4 x 1,BSP Female x BSP Male,Valve,N,6,6,Male x Female,Silicon Bronze;DZR Brass,,NSF;WRAS,5A3001,Pressure Reducing Valve,N,Silicon bronze and DZR brass construction,PN16 rated,With extended handle,Integrated PRV cartridge of up to 6 bar,With integral strainer,Maximum temperature of 80°C includes creep-free pressure stability,Capped water meter connection,Direct fitting concentric-type class D water meter,Individual pressure gauges give clear readings,With custom moulded EPP insulation,WRAS and UK Reg4 approved,NSF approved,,,,,,,,,,,,,,,,
25,P171873,"Reliance Valves 312 Compact pressure reducing valve 3/4""",Reliance Valves,58.53,"This Reliance Water Controls 312 compact pressure reducing valve (PRV) controls system water pressure, protecting taps, showers, dishwashers and other parts or appliances from damage caused by excessively high pressure. Suitable for installation in small spaces, with working components contained in a small, easily replaced single-piece cartridge, this RWC PRV includes 3/4"" female x female BSP connections and downstream test ports on either side of the valve for accurately setting the outlet pressure anywhere between 1.5 and 6 bar.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 312 Compact pressure reducing valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/73/NW-171873_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_312_Compact_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_312_Compact_Installation.pdf,,,,
26,P143378,Joule Ancillaries HZK-0V-0000028 ISO valve 25mm Red,Joule,13.39,"Designed specifically for use in UK plumbing systems, this Joule Ancillarie ISO pressure reducing ball valve is made of robust brass and has a simple red colour quarter-turn lever handle for ease of operation. It is fitted using a 28mm female threaded connection.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Joule Ancillaries HZK-0V-0000028 ISO valve 25mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/78/143378_wm.jpg,28 mm,Threaded,Ancillaries,N,0,10,Female,Brass,,WRAS,HZK-0V-0000028,Pressure Reducing Valves,N,Lever-style operating handle,Suitable for use in hot water services,Easy to operate,"Simple, quarter-turn to open/close",Brass construction,Red colour handle,WRAS approved,,,,,,,,,,,,,,,,,,,,,
27,P870523,JG Speedfit 312 Compact pressure reducing valve 15mm,JG Speedfit,56.11,"This Reliance Water Controls 312 compact pressure reducing valve (PRV) controls system water pressure, protecting taps, showers, dishwashers and other parts or appliances from damage caused by excessively high pressure. Suitable for installation in small spaces, with working components contained in a small, easily replaced single-piece cartridge, this RWC PRV includes 15mm female x female push-fit connections and downstream test ports on either side of the valve for accurately setting the outlet pressure anywhere between 1.5 and 6 bar.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> JG Speedfit 312 Compact pressure reducing valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/24/NW-870523_870524_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_312_Compact_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_312_Compact_Installation.pdf,,,,
28,PK17454,Crane D1725 pressure reducing valve 50mm,Crane,452.83,"This Crane D1725 pressure reducing valve, or PRV, reduces and stabilises fluid pressure on a water distribution system according to a preset value. Made of robust DZR brass, this PRV includes 50mm connections and male union tail pieces.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Crane D1725 pressure reducing valve 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/54/NW-K17454_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D1725_PRV_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_PRV_Install.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D1725_WRAS_Certificate.pdf,,
29,PU10661,Pegler Valve RES1 valve MF 1X1,Pegler,187.13,"Offering 1 x 1"" BSP connections, this Pegler Yorkshire ResiFlow RES1 pressure reducing valve is comprised of a low lead CC768S silicon bronze body and a DZR brass/CW511 inlet valve. It includes a concentric class D water meter and capped water meter connection.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Pegler Valve RES1 valve MF 1X1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/61/U10661_wm.jpg,1,BSP Female x BSP Male,Valve,N,6,6,Male x Female,Silicon Bronze;DZR Brass,,NSF;WRAS,5A3002,Pressure Reducing Valve,N,Silicon bronze and DZR brass construction,PN16 rated,With extended handle,Integrated PRV cartridge of up to 6 bar,With integral strainer,Maximum temperature of 80°C includes creep-free pressure stability,Capped water meter connection,Direct fitting concentric-type class D water meter,Individual pressure gauges give clear readings,With custom moulded EPP insulation,WRAS and UK Reg4 approved,NSF approved,,,,,,,,,,,,,,,,
30,PK06410,"Pegler Valve pressure reducing valve 1""",Pegler,136.52,"This Pegler PRV4 PT brass pressure reducing valve with 1"" female x female parallel threaded connections is used to control or limit the pressure in a system.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Pegler Valve pressure reducing valve 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/10/NW-K06409_K06410_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_98101692_PRV4_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_94248146_WRAS_Certificate.pdf,,
31,P306230,"Danfoss 220B exposed solenoid valve body 3/4"" 220v",Danfoss,136.9,"Made of DZR brass and stainless steel, Danfoss EV220B is a universal indirect servo-operated 2/2 way solenoid valve program offering high performance in a wide variety of applications. It includes a built-in pilot filter, adjustable closing time and G 3/4"" thread.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Danfoss 220B exposed solenoid valve body 3/4"" 220v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/34/NW-306229_306234_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_SolenoidValve_MFRDeclaration.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_SolenoidValve_EU_Declaration.pdf,,,,
32,P171871,Reliance Valves 312 Compact pressure reducing valve 22mm,Reliance Valves,60.63,"This Reliance Water Controls 312 compact pressure reducing valve (PRV) controls system water pressure, protecting taps, showers, dishwashers and other parts or appliances from damage caused by excessively high pressure. Suitable for installation in small spaces, with working components contained in a small, easily replaced single-piece cartridge, this RWC PRV includes 22mm female x female compression connections and downstream test ports on either side of the valve for accurately setting the outlet pressure anywhere between 1.5 and 6 bar.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 312 Compact pressure reducing valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/71/NW-171870_171871_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_312_Compact_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_312_Compact_Installation.pdf,,,,
33,PK06409,"Pegler Valve pressure reducing valve 3/4""",Pegler,123.64,"This Pegler PRV4 PT brass pressure reducing valve with 3/4"" female x female parallel threaded connections is used to control or limit the pressure in a system.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Pegler Valve pressure reducing valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/10/NW-K06409_K06410_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_98101692_PRV4_Installation.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_94248146_WRAS_Certificate.pdf,,
34,PK73274,Honeywell Home DF06 resi pressure red valve d06f-b  20,Honeywell Home,102.3,"The DF06 spring-loaded pressure reducing valve (PRV) with 20mm male x male threaded connections operates via a force equalizing system, the force of a diaphragm operating against the force of an adjustment spring. Where outlet pressure (diaphragm force) falls because when water is drawn, the force of the spring opens the valve increasing outlet pressure until forces are equal. Suitable for use in household settings as well as for industrial or commercial applications, the DF06 protects installations against excessive pressure from the supply, avoiding damage and reducing water waste while minimising flow noise.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home DF06 resi pressure red valve d06f-b  20",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/74/NW-K73274_wm.jpg,20mm,Threaded,DF06,N,1.5,6,Male x Male,Brass,,WRASDVGWBSEN 1567UBAACSEN 806-2,D06F-3/4B,Pressure Reducing Valve,N,"Inlet pressure balancing, fluctuating inlet pressure does not affect outlet pressure","Approved by LGA for low noise, Group 1 without limitations",Brass construction,Valve insert of high quality synthetic material,Valve insert can be fully exchanged,Outlet pressure is set by turning adjustment knob,Set pressure directly indicated on set point scale,Adjustment spring is not in contact with drinking water,Integral fine filter,Also available without fittings,Minimum outlet pressure 1.5 bar,Maximum outlet pressure 6 bar,Conforms to BS EN1567,All materials conform to UBA,All materials are ACS approved,WRAS approved,DVGW approved,Meets EN 806-2,,,,,20,,,,,
35,PK73277,Honeywell Home DF06 resi pressure red valve d06f-b  40,Honeywell Home,304.53,"The DF06 spring-loaded pressure reducing valve (PRV) with 40mm male x male threaded connections operates via a force equalizing system, the force of a diaphragm operating against the force of an adjustment spring. Where outlet pressure (diaphragm force) falls because when water is drawn, the force of the spring opens the valve increasing outlet pressure until forces are equal. Suitable for use in household settings as well as for industrial or commercial applications, the DF06 protects installations against excessive pressure from the supply, avoiding damage and reducing water waste while minimising flow noise.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home DF06 resi pressure red valve d06f-b  40",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/78/NW-K73275_K73278_wm.jpg,40 mm,Threaded,DF06,N,1.5,6,Male x Male,Brass,,WRASDVGWBSEN 1567UBAACSEN 806-2,D06F-11/2B,Pressure Reducing Valve,N,"Inlet pressure balancing, fluctuating inlet pressure does not affect outlet pressure",Brass construction,Valve insert of high quality synthetic material,Valve insert can be fully exchanged,Outlet pressure is set by turning adjustment knob,Set pressure directly indicated on set point scale,Adjustment spring is not in contact with drinking water,Integral fine filter,Also available without fittings,Minimum outlet pressure 1.5 bar,Maximum outlet pressure 6 bar,Conforms to BS EN1567,All materials conform to UBA,All materials are ACS approved,WRAS approved,DVGW approved,Meets EN 806-2,,,,,,40,,,,,
36,PK73273,Honeywell Home DF06 resi pressure red valve d06f-b  15,Honeywell Home,99.51,"The DF06 spring-loaded pressure reducing valve (PRV) with 15mm male x male threaded connections operates via a force equalizing system, the force of a diaphragm operating against the force of an adjustment spring. Where outlet pressure (diaphragm force) falls because when water is drawn, the force of the spring opens the valve increasing outlet pressure until forces are equal. Suitable for use in household settings as well as for industrial or commercial applications, the DF06 protects installations against excessive pressure from the supply, avoiding damage and reducing water waste while minimising flow noise.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home DF06 resi pressure red valve d06f-b  15",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/73/NW-K73273_wm.jpg,15mm,Threaded,DF06,N,1.5,6,Male x Male,Brass,,WRASDVGWBSEN 1567UBAACSEN 806-2,D06F-1/2B,Pressure Reducing Valve,N,"Inlet pressure balancing, fluctuating inlet pressure does not affect outlet pressure","Approved by LGA for low noise, Group 1 without limitations",Brass construction,Valve insert of high quality synthetic material,Valve insert can be fully exchanged,Outlet pressure is set by turning adjustment knob,Set pressure directly indicated on set point scale,Adjustment spring is not in contact with drinking water,Integral fine filter,Also available without fittings,Minimum outlet pressure 1.5 bar,Maximum outlet pressure 6 bar,Conforms to BS EN1567,All materials conform to UBA,All materials are ACS approved,WRAS approved,DVGW approved,Meets EN 806-2,,,,,15,,,,,
37,PU10662,Pegler Valve RES2 valve FF 3/4,Pegler,187.48,"Offering FF 3/4"" connections, this Pegler Yorkshire ResiFlow RES2 pressure reducing valve is comprised of a low lead CC768S silicon bronze body and a DZR brass/CW511 inlet valve. It includes a concentric class D water meter and capped water meter connection.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Pegler Valve RES2 valve FF 3/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/_a/U10662_A_wm.jpg,3/4,Female Threaded,Valve,N,6,6,Female,Silicon Bronze;DZR Brass,,NSF;WRAS,5A3021,Pressure Reducing Valve,N,Silicon bronze and DZR brass construction,PN16 rated,With extended handle,Integrated PRV cartridge of up to 6 bar,With integral strainer,Maximum temperature of 80°C includes creep-free pressure stability,Capped water meter connection,Direct fitting concentric-type class D water meter,Individual pressure gauges give clear readings,With custom moulded EPP insulation,WRAS and UK Reg4 approved,NSF approved,,,,,,,,,,,,,,,,
38,P870382,"Reliance Valves 314 pressure reducing valve, dial up adjustable MBSP Union 3/4""",Reliance Valves,82.14,"The Reliance Water Controls 314 adjustable pressure reducing valve (PRV) includes an easy-read pressure indicator dial and 3/4"" female x female BSP connection. Protecting the system from raised pressure, this flexible PRV has a tough brass build and one piece cartridge for easy installation and replacement.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 314 pressure reducing valve, dial up adjustable MBSP Union 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/82/NW-870382_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_314-Dial-Up_Technical.pdf,,,,,,,
39,PK17451,Crane D1725 pressure reducing valve 25mm,Crane,92.98,"This Crane D1725 pressure reducing valve, or PRV, reduces and stabilises fluid pressure on a water distribution system according to a preset value. Made of robust DZR brass, this PRV includes 25mm connections and male union tail pieces.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Crane D1725 pressure reducing valve 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/52/NW-K17451_K17452_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D1725_PRV_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_PRV_Install.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D1725_WRAS_Certificate.pdf,,
40,PK73627,Honeywell Home D04FM resi pressure red valve d04fm-zc 15,Honeywell Home,34.64,"Protecting household appliances and pipework against excessive pressure, the D04FM pressure reducing valve (PRV) has a compact design that promises to maintain a constant water pressure even where supply pressure is much higher. Reducing noise and saving on waste, this PRV is supplied with 1/2"" female x female compression connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home D04FM resi pressure red valve d04fm-zc 15",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/27/NW-K73627_wm.jpg,1/2,Compression,D04FM,N,1.5,6,Female x Female,"Brass, Dezincification Resistant",EPDM,WRASEN1567,D04FM-1/2ZC,Pressure Reducing Valve,N,Spring-loaded balanced seat for constant outlet pressure even where inlet pressure fluctuates,Lightweight design,Compact construction,Available with pressure gauge,16 bar inlet pressure,1.5 - 6 bar outlet pressure,Maximum operating temperature 40°C,Reducing pressure reduces consumption,27L per day can be saved by reducing pressure from 6 to 4 bar,Meets EN 1567,WRAS approved,,,,,,,,,,,,,,,,,
41,P171875,Reliance Valves class-D water meter adaptor for TVA,Reliance Valves,34.64,"Made of robust DZR brass, this Reliance Water Controls Class D water meter adapter is suitable for use with the Tenant Valve Plus combination valve.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves class-D water meter adaptor for TVA",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/75/NW-171875_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Reliance_Valves_TenantValvePlus_Tech.pdf,,,,,,,
42,PK17450,Crane D1725 pressure reducing valve 20mm,Crane,83.0,"This Crane D1725 pressure reducing valve, or PRV, reduces and stabilises fluid pressure on a water distribution system according to a preset value. Made of robust DZR brass, this PRV includes 20mm connections and male union tail pieces.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Crane D1725 pressure reducing valve 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/50/NW-K17450_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D1725_PRV_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_PRV_Install.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D1725_WRAS_Certificate.pdf,,
