,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Range,Hazardous,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Material,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Attachment 1,Weight,Size,Attachment 2,Material Type,Attachment 3,Attachment 4,Attachment 5
10,P171751,Reliance Valves Predator pressure reducing valve 15mm,Reliance Valves,43.18,"This Reliance Water Controls Predator pressure reducing valve (PRV) with 15mm female x female compression connections is designed to reduce the pressure in a water system, protecting from potential damage, saving on water waste and reducing energy usage. Suitable for use at temperatures up to 80°C and with an adjustable pressure of 1 - 6 bar, the Predator PRV incorporates a drop-tight valve for accurate control and a fully serviceable integral strainer to protect the seat of the valve.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves Predator pressure reducing valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/52/NW-171751_171752_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Predator_Technical.pdf,,,,,,,
11,P531364,Intatec Pressure Reducing Valves 15mm Press Reducing Vlv Cw Gauge,Intatec,35.76,"This Inta pressure reducing valve (PRV) with static and dynamic pressure control and 15mm compressions connections reduces fluid pressure down to optimal system levels, preventing damage to those components located downstream. With its compact design this PRV is suitable for use in areas where space is limited.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Intatec Pressure Reducing Valves 15mm Press Reducing Vlv Cw Gauge",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/65/NW-531364_531365_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_PRV2233_Technical.pdf,,,,,,,
12,P171752,Reliance Valves Predator pressure reducing valve 22mm,Reliance Valves,51.2,"This Reliance Water Controls Predator pressure reducing valve (PRV) with 22mm female x female compression connections is designed to reduce the pressure in a water system, protecting from potential damage, saving on water waste and reducing energy usage. Suitable for use at temperatures up to 80°C and with an adjustable pressure of 1 - 6 bar, the Predator PRV incorporates a drop-tight valve for accurate control and a fully serviceable integral strainer to protect the seat of the valve.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves Predator pressure reducing valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/52/NW-171751_171752_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Predator_Technical.pdf,,,,,,,
13,P506149,Intatec Pressure Reducing Valves pressure reducing valve comes with gauge 15mm - offer price,Intatec,34.26,"A compact design for installation in challenging locations, this Intatec pressure reducing valve (PRV) with 15mm compression connections offers static and dynamic pressure control. Reducing fluid pressure to meet optimal system levels, a PRV helps to reduce the risk of damage to any components fitted downstream.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Intatec Pressure Reducing Valves pressure reducing valve comes with gauge 15mm - offer price",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/65/NW-531364_531365_wm.jpg,15mm,Compression,Pressure Reducing Valves,N,0.5,6,Compression,Brass,,WRAS,506149 PK,Pressure Reducing Valve,N,Brass construction,Adjustable static and dynamic pressure control,For horizontal or vertical installation,With integral serviceable filter,Includes port for pressure gauge,Gauges with PTFE seal available,Minimum outlet pressure of 0.5 bar,Maximum outlet pressure of 6 bar,Choose number of PRVs carefully to avoid cavitation,WRAS approved,,,,,,,,,,,,,,,,,,
14,PK73630,Honeywell Home D04FM resi pressure red valv d04fm-zgc 22,Honeywell Home,41.24,"Protecting household appliances and pipework against excessive pressure, the D04FM pressure reducing valve (PRV) has a compact design that promises to maintain a constant water pressure even where supply pressure is much higher. Reducing noise and saving on waste, this PRV is supplied with 3/4"" female x female compression connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home D04FM resi pressure red valv d04fm-zgc 22",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/30/NW-K73630_wm.jpg,3/4,Compression,D04FM,N,1.5,6,Female x Female,"Brass, Dezincification Resistant",EPDM,WRASEN1567,D04FM-3/4ZGC,Pressure Reducing Valve,N,Spring-loaded balanced seat for constant outlet pressure even where inlet pressure fluctuates,Lightweight design,Compact construction,Available with pressure gauge,16 bar inlet pressure,1.5 - 6 bar outlet pressure,Maximum operating temperature 40°C,Reducing pressure reduces consumption,27L per day can be saved by reducing pressure from 6 to 4 bar,Meets EN 1567,WRAS approved,,,,,,,,,,,,,,,,,
15,PK74287,JET Range 25 pressure reducing valve 40mm,JET Range,732.9,"The JET Range 25 pressure reducing valve (PRV) is offers reliable pressure reduction and stabilisation suitable for domestic, commercial and industrial applications. Robustly built yet compact, this DZR brass PRV includes 1 1/2"" female x female BSP connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> JET Range 25 pressure reducing valve 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/88/NW-K74264_K74288_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_PRV-D06F_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/7_/im/Jet_K74287_IM.pdf,,,,
16,P171861,"Reliance Valves 315i Commerical PRED315100 dial-up pressure reducing valve 1/2""",Reliance Valves,81.04,"Reliance Valves 315i Commercial Series are a range of adjustable pressure reducing valves that are adjustable between 1.5 – 6.0 bar, with a easy-to-read pressure indicator dial.  Suitable for hot and cold water applications (up to 25 bar and 70°C), all working components are contained in a one-piece cartridge making it easy to replace the cartridge for maintenance. It also features an integral strainer to protect the cartridge and the installation.  Ideal for high pressure systems, the 315i Commercial Series comes with MBSP or capillary connections with unions for quick and easy installation, or FBSP or compression connections for a direct connection to the valve.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 315i Commerical PRED315100 dial-up pressure reducing valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/61/171861_wm.jpg,1/2 in,Compression,315i Commerical,N,1.5,25,Male,Brass,,WRAS,PRED315010,Pressure Reducing Valve,N,Easy to read pressure indicator,Drop tight valve controls pressure under flow and no-flow condition,Robust design can be installed in any orientation,One-piece easy to replace cartridge containing all parts,Fully serviceable integral strainer,Suitable for hot and cold water up to 25 bar,Compatible with copper pipe only,,,,,,,,,,,,,,,,,,DZR,,,
17,P171866,"Reliance Valves 315i dial-up pressure reducing valve 2""",Reliance Valves,401.56,"This Reliance Water Controls 315I commercial pressure reducing valve (PRV), includes a unique indicator for easy identification of the set pressure with no need for a pressure gauge. Rated to 25 bar inlet pressure and with an adjustable outlet pressure of 1 - 6 bar, this PRV includes a lockable adjustment knob and 2"" male x male BSP connections. Providing easy, flexible installation thanks to a single piece cartridge containing all functional components, an integral serviceable strainer and a rotatable sleeve with set pressure indicator, the 315I includes two downstream test points with brass plugs.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 315i dial-up pressure reducing valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/66/NW-171866_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_315i_Commercial_Technical.pdf,,,,,,,
18,P171862,"Reliance Valves 315i dial-up pressure reducing valve 3/4""",Reliance Valves,100.35,"This Reliance Water Controls 315I commercial pressure reducing valve (PRV), includes a unique indicator for easy identification of the set pressure with no need for a pressure gauge. Rated to 25 bar inlet pressure and with an adjustable outlet pressure of 1 - 6 bar, this PRV includes a lockable adjustment knob and 3/4"" male x male BSP connections. Providing easy, flexible installation thanks to a single piece cartridge containing all functional components, an integral serviceable strainer and a rotatable sleeve with set pressure indicator, the 315I includes two downstream test points with brass plugs.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 315i dial-up pressure reducing valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/65/NW-171862_171865_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_315i_Commercial_Technical.pdf,,,,,,,
19,PK17449,Crane D1725 D1725 pressure reducing valve 15mm,Crane,79.68,"Made of tough DZR brass, this Crane D1725 pressure reducing valve features 15mm connections and male union tail pieces. It is designed to reduce and stabilise fluid pressure on a water distribution system in order to meet a preset value.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Crane D1725 D1725 pressure reducing valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/49/NW-K17449_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D1725_PRV_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_PRV_Install.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D1725_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Crane_D1725_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D1725_Technical.pdf
