,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Grade,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Angle,End Connection B size,Feature 9,Attachment 1,Attachment 2,Attachment 3,Warranty
56,PM54609,Victaulic QuickVic EPDM flexible coupling 165.1mm,Victaulic,181.0,"Made of ductile iron, this Victaulic QuickVic 165.1 x 165.1mm flexible coupling with grooved, lubricated connections creates a pipe joint designed to accommodate a limited amount of linear and angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic EPDM flexible coupling 165.1mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/09/NW-M54607_M54609_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_QuickVic_FlexCoupling_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/17/7n/Victaulic_QuickVic_ABS_Approval_177N.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Victaulic_QuickVic_Style177N_Install.pdf,
57,PM50156,Victaulic Zero-Flex grade E rigid coupling 125mm,Victaulic,120.1,"Made of ductile iron, this Victaulic Zero-Flex 139.7 x 139.7mm rigid coupling with Style 07 coupling angle pad design adjusts to standard pipe and roll or cut groove tolerances for positive clamping to a pipe, resisting flexural and torsional loads.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Zero-Flex grade E rigid coupling 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/57/NW-M50151_M50157_wm.jpg,,Grooved/Lubricant,5,Zero-Flex,N,CYLUSDVGWFMLPCB 104-1a/02VdS,Equal,139.7 mm,139.7 mm,EPDM,Ductile Iron,139.7 x 139.7 mm,Grooved/Lubricant,Grooved/Lubricant,C0007M139ZZPEM0,Rigid Coupling,N,Angled bolt pad for rigidity,Orange colour,DN25 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, DVGW and FM approved",LPCB 104-1a/02,,,VdS approval,,,,
58,PM50853,Victaulic Vic-Flange 88.9 grade E adaptor (PN16),Victaulic,196.86,"Made of ductile iron, this Victaulic Vic-Flange 88.9 x 88.9mm flange adapter directly incorporates flanged components with PN10 and PN16 bolt hole patterns into a grooved pipe system.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-Flange 88.9 grade E adaptor (PN16)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/56/NW-M50852_M50856_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Victaulic_Vic-Flange_Adapters_Guide.pdf,,,
59,PM51385,Victaulic QuickVic EHPS metric coupling with gasket (Style 107N) 165mm Orange,Victaulic,165.17,"Made of ductile iron, this Victaulic QuickVic Style 107N 165.7 x 165.7mm rigid coupling with grooved, lubricated connections creates a rigid pipe joint designed to restrict axial or angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic EHPS metric coupling with gasket (Style 107N) 165mm Orange",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/85/NW-M51385_wm.jpg,Orange,Grooved/Lubricant,,QuickVic,N,CYLUSFMLPCBVdS,Equal,165.7 mm,165.7 mm,,Ductile Iron,165.7 x 165.7 mm,Grooved/Lubricant,Grooved/Lubricant,C107NM165ZZPEM0,Rigid Coupling,N,Installation-ready technology,Orange colour,"Sizes 2 - 12""",DN50 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, FM, LPCB and VdS approvals",,,,,,,
60,PM54628,Victaulic QuickVic EPDM flexible coupling 76.1mm,Victaulic,58.39,"Made of ductile iron, this Victaulic QuickVic 76.1 x 76.1mm flexible coupling with grooved, lubricated connections creates a pipe joint designed to accommodate a limited amount of linear and angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic EPDM flexible coupling 76.1mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/28/NW-M54628_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_QuickVic_FlexCoupling_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/17/7n/Victaulic_QuickVic_ABS_Approval_177N.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Victaulic_QuickVic_Style177N_Install.pdf,
61,PM50858,VIC 219.1 *741 PN16  GRADE E VIC.ADAPTOR,Victaulic,463.79,"Made of ductile iron, this Victaulic Vic-Flange 219.1 x 219.1mm flange adapter directly incorporates flanged components with PN10 and PN16 bolt hole patterns into a grooved pipe system.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC 219.1 *741 PN16  GRADE E VIC.ADAPTOR",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/58/NW-M50858_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Victaulic_Vic-Flange_Adapters_Guide.pdf,,,
62,PM51765,Victaulic Vic-300 MasterSeal butterfly valve 150mm,Victaulic,549.16,"Made of ductile iron, this Victaulic Vic-300 MasterSeal 165.1 x 165.1mm butterfly valve is suitable for use in pressures from vacuum to 300 psi (2065 kPa). Featuring a narrow profile disc design with a smoothly coated inner body, this valve offers excellent flow characteristics with low break-away torque, for a reduction in gear operator and actuator size and cost. The standard polyphenylene sulphide blend (PPS) coating allows for use in a variety of severe services while the dual-seal disc provides a bubble-tight seal right up to 300 psi (2065 kPa) in both directions with no added valve modifications required.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-300 MasterSeal butterfly valve 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/65/NW-M51761_M51765_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Vic-300_Butterfly_Val_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Victaulic_Vic-300_761_461_Instal.pdf,,
63,PM50178,Victaulic Zero-Flex grade E zero galvanised flexible 100mm,Victaulic,111.79,"Made of ductile iron, this Victaulic Zero-Flex 114.3 x 114.3mm rigid coupling with Style 07 coupling angle pad design adjusts to standard pipe and roll or cut groove tolerances for positive clamping to a pipe, resisting flexural and torsional loads.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Zero-Flex grade E zero galvanised flexible 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/79/NW-M50178_M50179_wm.jpg,Galvanised,Grooved/Lubricant,,Zero-Flex,N,CYLUSDVGWFMLPCB 104-1a/02VdS,Equal,114.3 mm,114.3 mm,EPDM,Ductile Iron,114.3 x 114.3 mm,Grooved/Lubricant,Grooved/Lubricant,C00070040ZZGEM0,Rigid Coupling,N,Angled bolt pad for rigidity,"Sizes 1- 12""",DN25 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, DVGW and FM approved",LPCB 104-1a/02,,,VdS approval,,,,
64,PM51584,VIC GRV 165.1 7890 DOUBLE REG VALVE  150,Victaulic,2721.28,"Providing hydronic balance between the circuits of a system, this Victaulic 150mm double regulating and commissioning valve (DRV) also has useful pre-setting, measuring, isolating, filling and draining functions. Compatible with hot and cold water alike, this DRV works with a pre-set and centrally regulated flow rate or pressure loss for individual pipes, using a longitudinal scale for basic setting and peripheral scale for fine tuning. The DRV's presets are reproduced by opening the valve until a stop occurs. Differential pressure is measured using the valve's two threaded ports which feature useful pressure test points.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC GRV 165.1 7890 DOUBLE REG VALVE  150",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/84/NW-M51584_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Victaulic_Series_7890_DRV_Technical.pdf,,,
65,PM50378,Victaulic 90deg elbow 100mm,Victaulic,100.93,"Made of steel, this Victaulic 114.3 x 114.3mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg elbow 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/NW-M50375_M50380_wm.jpg,Orange,Grooved End,4,GRV,N,LPCBVdS,Equal,114.3 mm,114.3 mm,,Steel,114.3 x 114.3 mm,Grooved,Grooved,F00100040ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
66,PM50153,Victaulic Zero-Flex grade E rigid coupling 65mm,Victaulic,60.89,"Made of ductile iron, this Victaulic Zero-Flex 76.1 x 76.1mm rigid coupling with Style 07 coupling angle pad design adjusts to standard pipe and roll or cut groove tolerances for positive clamping to a pipe, resisting flexural and torsional loads.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Zero-Flex grade E rigid coupling 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/57/NW-M50151_M50157_wm.jpg,,Grooved/Lubricant,2.1/2,Zero-Flex,N,CYLUSDVGWFMLPCB 104-1a/02VdS,Equal,76.1mm,76.1mm,EPDM,Ductile Iron,76.1 x 76.1mm,Grooved/Lubricant,Grooved/Lubricant,C0007M076ZZPEM0,Rigid Coupling,N,Angled bolt pad for rigidity,Orange colour,DN25 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, DVGW and FM approved",LPCB 104-1a/02,,,VdS approval,,,,
67,PM50154,VIC-GRV  88.9  *07 GRADE E ZERO-FLEX  80,Victaulic,65.08,"Made of ductile iron, this Victaulic Zero-Flex 88.9 x 88.9mm rigid coupling with Style 07 coupling angle pad design adjusts to standard pipe and roll or cut groove tolerances for positive clamping to a pipe, resisting flexural and torsional loads.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  88.9  *07 GRADE E ZERO-FLEX  80",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/57/NW-M50151_M50157_wm.jpg,Orange,Grooved/Lubricant,3,Zero-Flex,N,CYLUSDVGWFMLPCB 104-1a/02VdS,Equal,88.9mm,88.9mm,EPDM,Ductile Iron,88.9 x 88.9 mm,Grooved/Lubricant,Grooved/Lubricant,C00070030ZZPEM0,Rigid Coupling,N,Angled bolt pad for rigidity,Orange colour,DN25 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, DVGW and FM approved",LPCB 104-1a/02,,,VdS approval,,,,
