,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Grade,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Angle,End Connection B size,Feature 9,Attachment 1,Attachment 2,Attachment 3,Warranty
0,PM50084,Victaulic QuickVic grade E high pressure joint 65mm,Victaulic,60.89,"Made of ductile iron, this Victaulic QuickVic Style 107N 76.1 x 76.1mm rigid coupling with grooved, lubricated connections creates a rigid pipe joint designed to restrict axial or angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic grade E high pressure joint 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/86/NW-M50084_M50086_wm.jpg,Orange,Grooved/Lubricant,2.1/2,QuickVic,N,CYLUSFMLPCBVdS,Equal,76.1mm,76.1mm,EPDM EHP,Ductile Iron,76.1 x 76.1mm,Grooved/Lubricant,Grooved/Lubricant,C107NM076ZZPEM0,Rigid Coupling,N,Installation-ready technology,Orange colour,"Sizes 2 - 12""",DN50 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, FM, LPCB and VdS approvals",,,,,,,
1,PM50622,Victaulic equal tee 50mm,Victaulic,117.61,"Made of steel, this Victaulic 60.3 x 60.3 x 60.3mm 90° equal tee with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic equal tee 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/27/NW-M50622_M50627_wm.jpg,,Grooved,2,,N,CYLUSFMLPCBVdS,Equal,60.3 mm,60.3 mm,,Steel,60.3 x 60.3 x 60.3 mm,Grooved,Grooved,F00200020ZZP000,tee,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,90,60.3 mm,,,,,
2,PM50438,VIC-GRV 139.7   *11 45 DEGREE ELBOW  125,Victaulic,149.3,"Made of ductile iron, this Victaulic 139.7 x 139.7mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV 139.7   *11 45 DEGREE ELBOW  125",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/39/NW-M50434_M50439_wm.jpg,Orange,Grooved End,5,GRV,N,CYLUSFMLPCBVdS,Equal,139.7 mm,139.7 mm,,Ductile Iron,139.7 x 139.7 mm,Grooved,Grooved,F0011M139ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,45,,,,,,
3,PM50627,Victaulic equal tee 150mm,Victaulic,366.2,"Made of steel, this Victaulic 165.1 x 165.1 x 165.1mm 90° equal tee with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic equal tee 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/27/NW-M50622_M50627_wm.jpg,Orange,Grooved,6,GRV,N,CYLUSFMLPCBVdS,Equal,165.1 mm,165.1 mm,,Steel,165.1 x 165.1 x 165.1 mm,Grooved,Grooved,F0020M165ZZP000,tee,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,90,165.1 mm,,,,,
4,PM50376,Victaulic 90deg elbow 65mm,Victaulic,73.4,"Made of steel, this Victaulic 76.1 x 76.1mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg elbow 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/NW-M50375_M50380_wm.jpg,Orange,Grooved End,2.1/2,GRV,N,LPCBVdS,Equal,76.1mm,76.1mm,,Steel,76.1 x 76.1mm,Grooved,Grooved,F0010M076ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
5,PM51025,VIC-GRV  76.1X60.3 CONCENTRIC REDUCER,Victaulic,62.56,"This Victaulic 76.1 x 60.3mm concentric reduced is made of ductile iron with grooved connections. This fitting connects pipes, providing a change in direction and adapts sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  76.1X60.3 CONCENTRIC REDUCER",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/26/NW-M51025_M51026_wm.jpg,Red/Orange,Grooved,2.1/2 x 2,GRV,N,CYLUSFMLPCBVdS,Unequal,76.1mm,60.3 mm,,Ductile Iron,76.1 x 60.3 mm,Grooved,Grooved,F0050M07602R000,Concentric Reducer,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","LPCB, CYLUS, VdS and FM approvals",,,,,,,,,,,
6,PM50553,VIC-GRV  88.9 *11 45 DEG ELBOW GALV   80,Victaulic,92.6,"Made of stainless steel, this Victaulic 88.9 x 88.9mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  88.9 *11 45 DEG ELBOW GALV   80",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/54/NW-M50553_M50554_wm.jpg,,Grooved End,,,N,LPCBVdS,Equal,88.9mm,88.9mm,,Stainless Steel,88.9 x 88.9 mm,Grooved,Grooved,F00110030ZZG000,Elbow,N,Supplied with Victaulic OGS grooves,Galvanised finish,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,45,,,,,,
7,PM50436,VIC-GRV  88.9   *11 45 DEGREE ELBOW   80,Victaulic,70.91,"Made of ductile iron, this Victaulic 88.9 x 88.9mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  88.9   *11 45 DEGREE ELBOW   80",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/39/NW-M50434_M50439_wm.jpg,Orange,Grooved End,3,GRV,N,CYLUSFMLPCBVdS,Equal,88.9mm,88.9mm,,Ductile Iron,88.9 x 88.9 mm,Grooved,Grooved,F00110030ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,45,,,,,,
8,PM50375,Victaulic 90deg elbow 50mm,Victaulic,58.39,"Made of steel, this Victaulic 60.3 x 60.3mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg elbow 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/NW-M50375_M50380_wm.jpg,,Grooved End,2,GRV,N,LPCBVdS,Equal,60.3 mm,60.3 mm,,Steel,60.3 x 60.3 mm,Grooved,Grooved,F00100020ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
9,PM51381,Victaulic QuickVic EHPS metric coupling with gasket (Style 107N) 139mm Orange,Victaulic,120.1,"Made of ductile iron, this Victaulic QuickVic Style 107N 139.7 x 139.7mm rigid coupling with grooved, lubricated connections creates a rigid pipe joint designed to restrict axial or angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic EHPS metric coupling with gasket (Style 107N) 139mm Orange",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/81/NW-M51381_wm.jpg,Orange,Grooved/Lubricant,,QuickVic,N,CYLUSFMLPCBVdS,Equal,139.7 mm,139.7 mm,,Ductile Iron,139.7 x 139.7 mm,Grooved/Lubricant,Grooved/Lubricant,C107NM139ZZPEM0,Rigid Coupling,N,Installation-ready technology,Orange colour,"Sizes 2 - 12""",DN50 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, FM, LPCB and VdS approvals",,,,,,,
10,PM50439,VIC-GRV 165.1   *11 45 DEGREE ELBOW  150,Victaulic,164.33,"Made of ductile iron, this Victaulic 165.1 x 165.1mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV 165.1   *11 45 DEGREE ELBOW  150",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/39/NW-M50434_M50439_wm.jpg,,Grooved End,6,GRV,N,CYLUSFMLPCBVdS,Equal,165.1 mm,165.1 mm,,Ductile Iron,165.1 x 165.1 mm,Grooved,Grooved,F0011M165ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,45,,,,,,
11,PM50155,Victaulic Zero-Flex grade E rigid coupling 100mm,Victaulic,85.92,"Made of ductile iron, this Victaulic Zero-Flex 114.3 x 114.3mm rigid coupling with Style 07 coupling angle pad design adjusts to standard pipe and roll or cut groove tolerances for positive clamping to a pipe, resisting flexural and torsional loads.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Zero-Flex grade E rigid coupling 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/57/NW-M50151_M50157_wm.jpg,,Grooved/Lubricant,4,Zero-Flex,N,CYLUSDVGWFMLPCB 104-1a/02VdS,Equal,114.3 mm,114.3 mm,EPDM,Ductile Iron,114.3 x 114.3 mm,Grooved/Lubricant,Grooved/Lubricant,C00070040ZZPEM0,Rigid Coupling,N,Angled bolt pad for rigidity,Orange colour,DN25 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, DVGW and FM approved",LPCB 104-1a/02,,,VdS approval,,,,
12,PM50856,Victaulic Vic-Flange 165.1 grade E adaptor (PN16),Victaulic,297.78,"Made of ductile iron, this Victaulic Vic-Flange 165.1 x 165.1mm flange adapter directly incorporates flanged components with PN10 and PN16 bolt hole patterns into a grooved pipe system.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-Flange 165.1 grade E adaptor (PN16)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/56/NW-M50852_M50856_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Victaulic_Vic-Flange_Adapters_Guide.pdf,,,
13,PM51761,Victaulic Vic-300 MasterSeal butterfly valve 65mm,Victaulic,259.1,"Made of ductile iron, this Victaulic Vic-300 MasterSeal 76.1 x 76.1mm butterfly valve is suitable for use in pressures from vacuum to 300 psi (2065 kPa). Featuring a narrow profile disc design with a smoothly coated inner body, this valve offers excellent flow characteristics with low break-away torque, for a reduction in gear operator and actuator size and cost. The standard polyphenylene sulphide blend (PPS) coating allows for use in a variety of severe services while the dual-seal disc provides a bubble-tight seal right up to 300 psi (2065 kPa) in both directions with no added valve modifications required.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-300 MasterSeal butterfly valve 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/65/NW-M51761_M51765_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Vic-300_Butterfly_Val_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Victaulic_Vic-300_761_461_Instal.pdf,,
14,PM50624,Victaulic equal tee 80mm,Victaulic,140.97,"Made of steel, this Victaulic 88.9 x 88.9 x 88.9mm 90° equal tee with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic equal tee 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/27/NW-M50622_M50627_wm.jpg,Orange,Grooved,3,GRV,N,CYLUSFMLPCBVdS,Equal,88.9mm,88.9mm,,Steel,88.9 x 88.9 x 88.9 mm,Grooved,Grooved,F00200030ZZP000,tee,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,90,88.9 mm,,,,,
15,PM50919,VIC-GRV 114.3X88.9  CONCENTRIC REDUCER,Victaulic,60.06,"This Victaulic 114.3 x 88.9mm concentric reduced is made of ductile iron with grooved connections. This fitting connects pipes, providing a change in direction and adapts sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV 114.3X88.9  CONCENTRIC REDUCER",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/20/NW-M50919_M50920_wm.jpg,,Grooved,4 x 3,,N,CYLUSFMLPCBVdS,Unequal,114.3 mm,88.9mm,,Ductile Iron,114.3 x 88.9 mm,Grooved,Grooved,F0050004003R000,Concentric Reducer,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","LPCB, CYLUS, VdS and FM approvals",,,,,,,,,,,
16,PM50437,Victaulic 45deg elbow 100mm,Victaulic,88.43,"Made of ductile iron, this Victaulic 114.3 x 114.3mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 45deg elbow 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/39/NW-M50434_M50439_wm.jpg,Orange,Grooved End,4,GRV,N,CYLUSFMLPCBVdS,Equal,114.3 mm,114.3 mm,,Ductile Iron,114.3 x 114.3 mm,Grooved,Grooved,F00110040ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,45,,,,,,
17,PM50852,Victaulic Vic-Flange 76.1 grade E adaptor (PN16),Victaulic,188.53,"Made of ductile iron, this Victaulic Vic-Flange 76.1 x 76.1mm flange adapter directly incorporates flanged components with PN10 and PN16 bolt hole patterns into a grooved pipe system.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-Flange 76.1 grade E adaptor (PN16)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/56/NW-M50852_M50856_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Victaulic_Vic-Flange_Adapters_Guide.pdf,,,
18,PM54608,Victaulic QuickVic EPDM flexible coupling 139.7mm,Victaulic,152.65,"Made of ductile iron, this Victaulic QuickVic 139.7 x 139.7mm flexible coupling with grooved, lubricated connections creates a pipe joint designed to accommodate a limited amount of linear and angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic EPDM flexible coupling 139.7mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/09/NW-M54607_M54609_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_QuickVic_FlexCoupling_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/17/7n/Victaulic_QuickVic_ABS_Approval_177N.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Victaulic_QuickVic_Style177N_Install.pdf,
19,PM51763,Victaulic Vic-300 MasterSeal butterfly valve 100mm,Victaulic,359.31,"Made of ductile iron, this Victaulic Vic-300 MasterSeal 114.3 x 114.3mm butterfly valve is suitable for use in pressures from vacuum to 300 psi (2065 kPa). Featuring a narrow profile disc design with a smoothly coated inner body, this valve offers excellent flow characteristics with low break-away torque, for a reduction in gear operator and actuator size and cost. The standard polyphenylene sulphide blend (PPS) coating allows for use in a variety of severe services while the dual-seal disc provides a bubble-tight seal right up to 300 psi (2065 kPa) in both directions with no added valve modifications required.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-300 MasterSeal butterfly valve 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/65/NW-M51761_M51765_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Vic-300_Butterfly_Val_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Victaulic_Vic-300_761_461_Instal.pdf,,
20,PM51033,VIC-GRV 139.7X114.3 CONCENTRIC REDUCER,Victaulic,154.33,"This Victaulic 139.7 x 114.3mm concentric reduced is made of ductile iron with grooved connections. This fitting connects pipes, providing a change in direction and adapts sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV 139.7X114.3 CONCENTRIC REDUCER",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/33/NW-M51031_M51033_wm.jpg,Red/Orange,Grooved,5 x 4,GRV,N,CYLUSFMLPCBVdS,Unequal,139.7 mm,114.3 mm,,Ductile Iron,139.7 x 114.3 mm,Grooved,Grooved,F0050M13904R000,Concentric Reducer,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","LPCB, CYLUS, VdS and FM approvals",,,,,,,,,,,
21,PM50435,VIC-GRV  76.1   *11 45 DEGREE ELBOW   65,Victaulic,63.39,"Made of ductile iron, this Victaulic 76.1 x 76.1mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  76.1   *11 45 DEGREE ELBOW   65",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/39/NW-M50434_M50439_wm.jpg,Orange,Grooved End,2.1/2,GRV,N,CYLUSFMLPCBVdS,Equal,76.1mm,76.1mm,,Ductile Iron,76.1 x 76.1mm,Grooved,Grooved,F0011M076ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,45,,,,,,
22,PM50380,Victaulic 90deg elbow 150mm,Victaulic,216.05,"Made of steel, this Victaulic 165.1 x 165.1mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg elbow 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/NW-M50375_M50380_wm.jpg,Orange,Grooved End,6,GRV,N,LPCBVdS,Equal,165.1 mm,165.1 mm,,Steel,165.1 x 165.1 mm,Grooved,Grooved,F0010M165ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
23,PM50917,VIC-GRV  88.9X76.1  CONCENTRIC REDUCER,Victaulic,60.06,"This Victaulic 88.9 x 76.1mm concentric reduced is made of ductile iron with grooved connections. This fitting connects pipes, providing a change in direction and adapts sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  88.9X76.1  CONCENTRIC REDUCER",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/17/NW-M50917_wm.jpg,Red/Orange,Grooved,3 x 2,GRV,N,CYLUSFMLPCBVdS,Unequal,88.9mm,76.1mm,,Ductile Iron,88.9 x 76.1 mm,Grooved,Grooved,F00500030MAR000,Concentric Reducer,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","LPCB, CYLUS, VdS and FM approvals",,,,,,,,,,,
24,PM50854,Victaulic Vic-Flange 114.3 grade E adaptor (PN16),Victaulic,211.02,"Made of ductile iron, this Victaulic Vic-Flange 114.3 x 114.3mm flange adapter directly incorporates flanged components with PN10 and PN16 bolt hole patterns into a grooved pipe system.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Vic-Flange 114.3 grade E adaptor (PN16)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/56/NW-M50852_M50856_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Victaulic_Vic-Flange_Adapters_Guide.pdf,,,
25,PM50005,Victaulic Flexible Coupling grade E joint 100mm,Victaulic,91.76,"Made of ductile iron, this Victaulic 114.3 x 114.3mm flexible coupling with grooved, lubricated connections creates a pipe joint that allows for expansion, contraction and deflection. This fitting is up to 50% lighter in weight than standard Style 77 or Style 177N flexible couplings.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic Flexible Coupling grade E joint 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/06/NW-M50002_M50006_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Victaulic_Style_75_FlexCoupling_Tech.pdf,,,
