,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Hazardous,Gender,Material,Resistance Features,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,PBE8075,"Scruffs Trade Flex shorts 38"" Slate",Scruffs,26.37,"Manufactured in hard wearing canvas, these slate Scruffs Trade Flex 38"" shorts combine good looks with practicality for a professional appearance when at work. Suitable for working in all conditions, these trousers are part of a range designed for safety and comfort on the job.","Trade Essentials/PPE and Workwear/Shorts/Shorts.csv -> Scruffs Trade Flex shorts 38"" Slate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/13/T52813_wm.jpg,Slate,Trade Flex,N,Mens,"YKK zipped fly. 65% polyester, 35% cotton, 250gsm",Hard wearing canvas fabric pocket reinforcements & triple-stitched seams,3/8,T52813,Shorts,N,"Durable, high performance materials",Slate colour,Made with polyester and cotton,YKK zipped fly,Reinforced pocket,Triple-stitched seams for durability
1,PBE8073,"Scruffs Trade Flex shorts 34"" Slate",Scruffs,25.77,"Manufactured in hard wearing canvas, these slate Scruffs Trade Flex 34"" shorts combine good looks with practicality for a professional appearance when at work. Suitable for working in all conditions, these trousers are part of a range designed for safety and comfort on the job.","Trade Essentials/PPE and Workwear/Shorts/Shorts.csv -> Scruffs Trade Flex shorts 34"" Slate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/11/T52811_wm.jpg,Slate,Trade Flex,N,Mens,"YKK zipped fly. 65% polyester, 35% cotton, 250gsm",Hard wearing canvas fabric pocket reinforcements & triple-stitched seams,3/4,T52811,Shorts,N,"Durable, high performance materials",Slate colour,Made with polyester and cotton,YKK zipped fly,Reinforced pocket,Triple-stitched seams for durability
2,PBE8074,"Scruffs Trade Flex shorts 36"" Slate",Scruffs,24.99,"Manufactured in hard wearing canvas, these slate Scruffs Trade Flex 36"" shorts combine good looks with practicality for a professional appearance when at work. Suitable for working in all conditions, these trousers are part of a range designed for safety and comfort on the job.","Trade Essentials/PPE and Workwear/Shorts/Shorts.csv -> Scruffs Trade Flex shorts 36"" Slate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/12/T52812_wm.jpg,Slate,Trade Flex,N,Mens,"YKK zipped fly. 65% polyester, 35% cotton, 250gsm",Hard wearing canvas fabric pocket reinforcements & triple-stitched seams,36,T52812,Shorts,N,"Durable, high performance materials",Slate colour,Made with polyester and cotton,YKK zipped fly,Reinforced pocket,Triple-stitched seams for durability
3,PBE8072,"Scruffs Trade Flex shorts 32"" Slate",Scruffs,27.77,"Manufactured in hard wearing canvas, these slate Scruffs Trade Flex 32"" shorts combine good looks with practicality for a professional appearance when at work. Suitable for working in all conditions, these trousers are part of a range designed for safety and comfort on the job.","Trade Essentials/PPE and Workwear/Shorts/Shorts.csv -> Scruffs Trade Flex shorts 32"" Slate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/10/T52810_wm.jpg,Slate,Trade Flex,N,Mens,"YKK zipped fly. 65% polyester, 35% cotton, 250gsm",Hard wearing canvas fabric pocket reinforcements & triple-stitched seams,32,T52810,Shorts,N,"Durable, high performance materials",Slate colour,Made with polyester and cotton,YKK zipped fly,Reinforced pocket,Triple-stitched seams for durability
