,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Weight,Hazardous,Depth (mm),Dimensions (L x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range For Use With,Flue Type,Flue Diameter,Flue Length
14,P417414,Center Center universal terminal guard fixing kit,Center,2.63,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications. Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish. This Fixing Kit is designed for use with Center Terminal Guards range – products 417415-417422.  This Kit includes 4 x Stainless Steel Screws.  The Screws include an Integral Washer, which is sized specifically to the wall fixing positions on the range of Terminal Guards.  No additional Washers are required in support of the Guard installation.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Center Center universal terminal guard fixing kit,,Four screws ;Four PE wallplugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/14/417414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417415_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417418_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417422_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417416_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417421_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417419_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417417_Technical.pdf,,,,,,,,,,,,,,,
15,P235303,Drugasar ART8/10 standard flue kit 440mm,Drugasar,185.37,"A balanced flue heater, this Drugasar ART8/10 440mm standard telescopic wall flue kit has piezo spark ignition.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Drugasar ART8/10 standard flue kit 440mm,,"Terminal, duct, tie rods",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/03/235303_wm.jpg,,,,,,,,3.41400,N,75,33 x 34 x 75 mm,"2424G LPG,1824G LPG,2424G NG,1824G NG",24360,Flue Kit,N,"For use with 1824G LPG, 2424G NG, 1824G NG and 2424G LPG",Integral thermostat,Flame failure protection,,,,
16,P417419,"Center CB Terminal Guard square 16 x 7 x 16"" Stainless Steel",Center CB,38.27,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Center CB Terminal Guard square 16 x 7 x 16"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/19/417419_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417419_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417419_DWG.pdf,,,,,,,,,,,,,,,,,,,,
17,P117240,Grant high level balanced flue adjustable flue kit (for 26 70KW boilers) 1.2mtr,Grant,421.41,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Grant high level balanced flue adjustable flue kit (for 26 70KW boilers) 1.2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/40/117240_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
18,P117221,Grant vertical balanced flue kit 50-90 (for 15 26KW boilers),Grant,482.43,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Grant vertical balanced flue kit 50-90 (for 15 26KW boilers),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/21/117221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
19,P118758,Baxi Multifit flue terminal deflector,Baxi,86.95,Multifit flue group A,Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Baxi Multifit flue terminal deflector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/58/118758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_Gold_Tita_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
20,P246257,Danfoss thermostatic return temperature controller 1/2”,Danfoss,411.93,"Offering automatic control of return water temperature from hot water tanks, the Danfoss FJV15 1/2"" thermostatic return temperature controller is designed for installation in direct connected district heating systems. Also providing automatic control of the return water temperature in district heating systems with a mixing loop, this controller is fitted using 1/2"" connections.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Danfoss thermostatic return temperature controller 1/2”,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/57/246257_wm.jpg,,,,,,,,,N,,,,003N2250,Temperature controller,N,The FJV ensures that return water is cooled to required temperature before it flows back to the district heating plant,,,,,,
21,P128180,Ariston horizontal coaxial flue kit 1mtr,Ariston,104.87,Ariston have an extensive array of flues and accessories which can be applied to suit most flueing installation methods.,Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Ariston horizontal coaxial flue kit 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/80/128180_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_WaterHeater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
22,P211197,Baxi Multifit flue extension and support bracket 0.25mtr 60/100mm,Baxi,40.68,"This Baxi 60/100mm white flue extension supplies an additional 250mm to the flue run on Promax Combi, Platinum, Duo-Tec, Megaflow, EcoBlue, EcoBlue+, EcoBlue Advance Combi, System and Regular boilers. It is provided with fixing screws for hassle-free installation.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Baxi Multifit flue extension and support bracket 0.25mtr 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/97/NW-211197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_Flue_Solutions_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
23,P411394,Vaillant AAV,Vaillant,35.42,"A Vaillant automatic air vent, also known as an AAV, for repair or replacement in Vaillant brand boilers.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Vaillant AAV,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/94/411394_wm.jpg,,,,,,,,,N,,,,0020143508,AAV,N,Genuine Vaillant spare,Part of a wide range of boiler accessories,,,,,
24,P127035,Vaillant air/flue external duct 60/100 4000mm,Vaillant,200.53,This Vaillant flue 100mm x 4M flue duct extension if suitable for Vaillant 600/100 PP horizontal wall terminals.,Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Vaillant air/flue external duct 60/100 4000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/35/NW-127035_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Boiler_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
25,P107884,Firebird low level flue kit 380 600 x 125mm,Firebird,169.16,"Flues are a critical part of a boiler installation. A correctly installed flue will ensure clean and efficient operation of the boiler. Firebird offer a range of high quality stainless steel flue kits that ensure optimum boiler performance and longer design life. Low level flue kits have become popular in recent years due to their convenient size and ease of installation. When installing a condensing low-level flue, consideration should be given to the discharge of the condense plume as it may cause a nuisance to neighbouring properties. In some cases a Plume Dispersal Kit may be advisable.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Firebird low level flue kit 380 600 x 125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/84/107884_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/03/UK_Product_Guide_03.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Firebird_Flue_Section_Guide.pdf,,,,,,,,,,,,,,,,,,,,
26,P117220,Grant high level balanced flue adjustable flue kit (for 12 26KW boilers) 1.2mtr,Grant,394.72,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Grant high level balanced flue adjustable flue kit (for 12 26KW boilers) 1.2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/20/117220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,,,,,,,,,,
27,P117153,Grant Yellow System 45deg elbow diverter kit 12-26kw Black,Grant,47.96,"The Yellow system has been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the unique quick-fit clamp arrangement ensures a perfect seal every time. In fact, the new telescopic flue system requires only two simple operations to complete the installation. The kits are compatible with all Grant boilers, (except Outdoor Modules) including condensing models.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Grant Yellow System 45deg elbow diverter kit 12-26kw Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/53/117153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/20/Grant_EZ-Fit_Flue_Guide_March_20.pdf,,,,,,,,,,,,,,,,,,,,,
28,P117414,Grant VTK25P90/X pitched roof flashing,Grant,82.95,This Grant pitched roof roof flashing is compatible with 12 - 26kW appliances fitted with vertical flues.,Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Grant VTK25P90/X pitched roof flashing,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/14/117414_wm.jpg,,,,,,,,,N,,,,VTK25P90/X,Pitched Roof Flashing,N,,,,Vertical Flue,Roof Flashing,N/A,N/A
