,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 2,End Connection B size,Feature 5,Feature 6,Angle,Connection Type 2,Gender,Feature 7,Weight
123,PP31069,Uponor S-Press Plus reducer 25 - 16mm,Uponor,9.73,"This Uponor S-Press Plus 25 x 16mm reducer with press indicator offers speedy three step press without bevel installation. Suitable for use in hot, cold and heating systems, this fitting includes a QR code for instant digital access.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus reducer 25 - 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/NW-P31068_P31072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
124,PP14813,"Uponor S-Press Plus 1070515 female thread adapter 16 - 1/2""",Uponor,6.62,"This Uponor S-Press Plus 16mm x 1/2"" adapter is made of tin-plated DR brass with threaded connections. Suitable for use in hot and cold systems, this fitting is also suitable for installation in heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070515 female thread adapter 16 - 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/14/NW-P14813_P14814_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
125,PP91053,Uponor S-Press 90deg MLCP compression elbow 40mm,Uponor,29.98,These Uponor S-Press 40 x 40mm 90° elbows are made of polyphenylsulfone (PPSU) and offer speedy bevel installation with no need to calibrate. These fittings are suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press 90deg MLCP compression elbow 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/NW-P91053_P91054_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
126,PP05473,Uponor S-Press Plus PPSU coupling 20 - 20mm,Uponor,4.61,"This Uponor S-Press Plus 20 x 20mm coupler is made of polyphenylsulfone (PPSU) and includes a unique press indicator. Printed with a QR code for immediate digital access, this fitting is suitable for hot and cold systems and heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus PPSU coupling 20 - 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/75/NW-P05472_P05475_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
127,PR12635,"Riifo F5 - Press F5-L1216x1/2FZNi F5 wall plate female elbows 16mm x 1/2""",Riifo,3.96,"Easy to fit, this Riifo F5 16mm x 1/2""  90° wall plate elbow is made of a corrosion-resistant nickel-plated brass. Annealed during construction, this U profile press-fit fitting offers a reduced risk of stress cracking while the included double O-ring provides a reliable seal.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Riifo F5 - Press F5-L1216x1/2FZNi F5 wall plate female elbows 16mm x 1/2""",,14 No.,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/53/598653_wm.jpg,,F5 - Press,N,WRAS,Unequal,16 mm,None,Nickel Plated Brass,16mm x 1/2(2 feet),RIIFO F5 Press Fit,1100042300,F5 16mm x 1/2 Wall Plated Elbow,N,U pressing profile,"Easy, secure installation",Brass construction,Corrosion-resistant nickel plating,,12,Machined using horizontal machining centers,WRAS approved,,,,,
128,PR12653,"Riifo 16mm x 1/2"" F5 manifolds outlet adaptors",Riifo,2.17,"Offering time saving efficiency, the Riifo F5 16mm x 1/2"" manifold outlet adapter is part of a press-fit system suitable for use in hot and cold or heating applications. Fast and easy to press, Rifeng-manufactured F5 fittings are highly reliable and incorporate double O-ring seals for excellent water-tightness.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Riifo 16mm x 1/2"" F5 manifolds outlet adaptors",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/56/598656_wm.jpg,,,N,WRAS,Unequal,16 mm,N/A,Ni Coated Brass,16mm x 1/2,Press fit,1100044530,MLCP press fittings,N,Nickel-coated brass body,Press-fit connection,With double O-ring seals,For use with RIIFO PEX/AL/PEX pipe,,1/2 BSP,Full WRAS approval.,,,,,,
129,PP91551,"Uponor Uni-C female iron compression adaptor 12mm x 1/2"" Brass",Uponor,5.84,"Manufactured in robust brass, this Uponor Uni-C 12mm x 1/2"" female iron compression manifold adapter has a female threaded connection.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Uni-C female iron compression adaptor 12mm x 1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/51/NW-P91551_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_MLCP_Brochure.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,
130,PP91100,Uponor S-Press MLCP compression equal tee 50mm,Uponor,60.47,These Uponor S-Press 50 x 50 x 50mm 90° tees are made of tin-plated brass. They provide fast press-fit installation with easy bevel and no need for calibration.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press MLCP compression equal tee 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/00/NW-P91099_P91100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
131,PP42079,Uponor S-Press Plus 1070707 adapter 20-15CU,Uponor,6.19,"This pack of Uponor S-Press Plus 20 x 15mm copper adapters includes unique press indicators. Provided with soldered copper pipe, the copper side of each fitting is for press connections and suitable compression fittings only.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070707 adapter 20-15CU",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/79/NW-P42079_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
132,PP91571,"Uponor S-Press male iron straight connector 40mm x 1.1/2""",Uponor,31.01,"The Uponor S-Press 40mm x 1 1/2"" adapters are made of tin-plated brass material. They offer fast installation with an easy bevel and no need to calibrate.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press male iron straight connector 40mm x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/71/NW-P91571_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
133,PP92457,"Uponor Uni-C compression adaptor 16mm x 1/2""",Uponor,4.1,"This Uponor Uni-C 16mm x 1/2"" adapter is made of plated brass with compression fittings. It is suitable for the connection of Uni Pipe Plus and MLC pipes to manifolds.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Uni-C compression adaptor 16mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/58/NW-P92457_P92458_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
134,PP14817,"Uponor S-Press Plus 1070519 female thread adapter 25 - 3/4""",Uponor,10.02,"This Uponor S-Press Plus 25mm x 3/4"" adapter is made of tin-plated DR brass with threaded connections. Suitable for use in hot and cold systems, this fitting is also suitable for installation in heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070519 female thread adapter 25 - 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/19/NW-P14817_P14819_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
135,PP91552,Uponor Uni-X compression adaptor 12 x 15mm Chrome,Uponor,4.79,This Uponor Uni-C 12 x 15mm adapter is made of brass and incorporates compression fittings. It is suitable for the connection of MLC pipes to compression fitting bodies.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Uni-X compression adaptor 12 x 15mm Chrome",,20x Adaptors,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/52/NW-P91552_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
136,PP14777,Uponor S-Press Plus 1039944 tee PPSU 16 - 16 - 16mm,Uponor,5.84,This Uponor S-Press Plus 16 x 16 x 16mm 90° tee with press indicator is made of polyphenylsulfone (PPSU) and includes press-fit connections and a QR code for instant digital access.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1039944 tee PPSU 16 - 16 - 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/80/NW-P14777_P14780_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
137,PP31066,Uponor S-Press Plus 1070549 coupling 25 - 25mm,Uponor,12.17,"This Uponor S-Press Plus 25 x 25mm coupler is made of polyphenylsulfone (PPSU) and includes a unique press indicator. Printed with a QR code for immediate digital access, this fitting is suitable for hot and cold systems and heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070549 coupling 25 - 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/67/NW-P31064_P31067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
138,PP38374,Uponor Smart Aqua elbow adapter 16 - 15CU length =150 mm,Uponor,7.64,"Fitted with plain end connections, this Uponor Smart Aqua 16 x 15mm tap elbow adapter is made of robust DZR brass.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Smart Aqua elbow adapter 16 - 15CU length =150 mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/74/NW-P38374_wm.jpg,,Smart Aqua,N,WRAS,Equal,16 mm,15mm,DZR Brass,16 x 15 mm,Plain End,1070650,Adaptor,N,Suitable for hot and cold and heating systems,10 bar at 80°C heating alternative to copper and stainless,Brass construction,WRAS approved,,,,,,,,,
139,PP38338,Uponor S-Press Plus 1070620 adapter 32-28CU,Uponor,14.05,"This Uponor S-Press Plus 32 x 28mm copper adapter includes a unique press indicator. Provided with soldered copper pipe, the copper side of the fitting is for press connections and suitable compression fittings only.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070620 adapter 32-28CU",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/38/NW-P38334_P38338_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
140,PP94843,Uponor S-Press MLCP compression lever ball valve 40mm,Uponor,116.51,"Supplied in a pack of six, these Uponor S-Press 40 x 40mm ductile iron lever ball valves are delivered fully assembled and sealed with press adapters ready for use with MLC pipes. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press MLCP compression lever ball valve 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/44/NW-P94839_P94844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_S-Press_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,
141,PP04494,Uponor M profile coupler MLCP press 16 x 15,Uponor,8.17,"Making the connection of MLC pipe to copper or stainless steel simple, this Uponor 16 x 15mm M profile coupler offers easy installation using press-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor M profile coupler MLCP press 16 x 15",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/94/P04494_wm.jpg,,,N,WRAS,Unequal,16 mm,15mm,DZR Brass,16 x 15 mm,Press fit,1090682,Adapter,N,Adapts Uponor MLC pipes to copper or stainless steel,DZR brass construction,Easy press-fit connections,WRAS approved,,,,,,,,,
142,PP38368,Uponor S-Press Plus unplated radius elbow adapter 16 - 15mm length = 250mm,Uponor,12.74,This Uponor S-Press Plus 16 x 15mm 90° elbow is made of brass and supplied with copper pipe for connection to radiators via compression adapters.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus unplated radius elbow adapter 16 - 15mm length = 250mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/68/NW-P38368_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_S-Press_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
143,PP92459,"Uponor Uni-X euro compression adaptor 16 x 3/4""",Uponor,4.49,"This Uponor Uni-C 16mm x 3/4"" adapter is made of brass and incorporates compression fittings. It is suitable for the connection of Uni Pipe Plus and MLC pipes to manifolds.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Uni-X euro compression adaptor 16 x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/59/NW-P92459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
144,PP05468,Uponor S-Press Plus PPSU elbow 16 - 16mm,Uponor,4.38,This Uponor S-Press Plus 16 x 16mm 90° elbow with press indicator and press-fit connections is suitable for use in hot and cold and heating systems. This polyphenylsulfone (PPSU) fitting is supplied with a QR code for instant digital access.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus PPSU elbow 16 - 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/71/NW-P05468_P05471_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
145,PP31068,Uponor S-Press Plus reducer 20 - 16mm,Uponor,7.36,"This Uponor S-Press Plus 20 x 16mm reducer with press indicator offers speedy three step press without bevel installation. Suitable for use in hot, cold and heating systems, this fitting includes a QR code for instant digital access.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus reducer 20 - 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/NW-P31068_P31072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
146,PP05469,Uponor S-Press Plus PPSU elbow 20 - 20mm,Uponor,5.47,This Uponor S-Press Plus 20 x 20mm 90° elbow with press indicator and press-fit connections is suitable for use in hot and cold and heating systems. This polyphenylsulfone (PPSU) fitting is supplied with a QR code for instant digital access.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus PPSU elbow 20 - 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/71/NW-P05468_P05471_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
147,PP07737,Uponor RS riser system flange (PN16) 65mm,Uponor,196.38,This Uponor 65mm RS flange adapter is made of tin-plated brass and is designed to fit to all RS2 or RS3 base parts.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor RS riser system flange (PN16) 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/37/NW-P07737_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
148,PP14821,Uponor S-Press Plus elbow 16 - 16mm,Uponor,6.31,This Uponor S-Press Plus 16 x 16mm 90° elbow with press indicator and press-fit connections is suitable for use in hot and cold and heating systems. This fitting is supplied with a QR code for instant digital access.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus elbow 16 - 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/24/NW-P14821_P14824_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
149,PP38337,Uponor S-Press Plus 1070619 adapter 25-28CU,Uponor,14.39,"This pack of Uponor S-Press Plus 25 x 28mm copper adapters includes unique press indicators. Provided with soldered copper pipe, the copper side of each fitting is for press connections and suitable compression fittings only.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070619 adapter 25-28CU",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/38/NW-P38334_P38338_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
150,PP92458,"Uponor Uni-C compression adaptor 20mm x 1/2""",Uponor,7.52,"This plated brass Uponor Uni-C 20mm x 1/2"" adapter with compression connections is suitable for manifold L/P.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Uni-C compression adaptor 20mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/58/NW-P92457_P92458_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
151,PP38331,"Uponor S-Press Plus 1070612 elbow swivel nut 16mm - 1/2""",Uponor,11.47,"This Uponor S-Press Plus 16mm x 1/2"" 90° elbow with threaded connections, flat sealing washer and swivel nut is made of brass material and is suitable for use in hot and cold and heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070612 elbow swivel nut 16mm - 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/31/NW-P38331_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_S-Press_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
152,PP31085,Uponor S-Press Plus reducing tee 25 - 16 - 25mm,Uponor,17.14,This Uponor S-Press Plus 25 x 16 x 25mm 90° reducer tee with press indicator offers speedy three step press without bevel installation and includes a QR code for instant digital access.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus reducing tee 25 - 16 - 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/85/NW-P31085_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
153,PP94839,Uponor S-Press MLCP compression lever ball valve 16mm,Uponor,30.08,"Supplied in a pack of six, these Uponor S-Press 16 x 16mm ductile iron lever ball valves are delivered fully assembled and sealed with press adapters ready for use with MLC pipes. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press MLCP compression lever ball valve 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/44/NW-P94839_P94844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_S-Press_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,
154,PP31063,Uponor S-Press Plus 45deg elbow 32-32mm,Uponor,30.92,This Uponor S-Press Plus 32 x 32mm 45° elbow with press indicator and press-fit connections is suitable for use in hot and cold and heating systems. This fitting is supplied with a QR code for instant digital access.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 45deg elbow 32-32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/63/NW-P31062_P31063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
