,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 2,End Connection B size,Feature 5,Feature 6,Angle,Connection Type 2,Gender,Feature 7,Weight
103,PP91167,Uponor S-Press MLCP press coupling 50 x 50mm,Uponor,32.01,These Uponor S-Press 50 x 50mm couplers are made of tin-plated brass and provide fast threaded press-fit installation with easy bevels and no need to calibrate.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press MLCP press coupling 50 x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/67/NW-P91167_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
104,PP31082,Uponor Uni Pipe PLUS reducing tee 20 - 25 - 20 mm,Uponor,17.49,"Made of plated dezincification resistant brass, this Uponor Uni Pipe PLUS 20 x 25 x 20mm tee reducer has a stainless steel press sleeve colour-coded for easy size recognition.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Uni Pipe PLUS reducing tee 20 - 25 - 20 mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/82/NW-P31082_wm.jpg,,Uni Pipe Plus,N,WRAS,Equal,20 mm,20 mm,DZR Brass,20 x 25 x 20mm,Press fit,1070571,tee,N,Unique press indicator,Fast 3 step press without bevel installation,QR code for immediate digital access,Suitable for hot and cold and heating systems,,25 mm,,,,,,,
105,PP31064,Uponor S-Press Plus 1070547 coupling 16 - 16mm,Uponor,5.95,"This Uponor S-Press Plus 16 x 16mm coupler is made of polyphenylsulfone (PPSU) and includes a unique press indicator. Printed with a QR code for immediate digital access, this fitting is suitable for hot and cold systems and heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070547 coupling 16 - 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/67/NW-P31064_P31067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
106,PP31094,Uponor S-Press Plus reducing tee 32 - 25 - 32mm,Uponor,27.05,This Uponor S-Press Plus 32 x 25 x 32mm 90° reducer tee with press indicator offers speedy three step press without bevel installation and includes a QR code for instant digital access.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus reducing tee 32 - 25 - 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/94/NW-P31091_P31094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
107,PP94817,Uponor RS 45deg riser system elbow,Uponor,37.26,This Uponor riser system 45° RS2 elbow is made of brass with tin plating. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor RS 45deg riser system elbow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/18/NW-P94817_P94818_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
108,PP98176,Uponor S-Press 90deg MLCP composite elbow 50 x 50mm,Uponor,32.88,This Uponor S-Press 50 x 50mm 90° elbow is made of polyphenylsulfone (PPSU) and offers speedy three step bevel installation with no need to calibrate. It is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press 90deg MLCP composite elbow 50 x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/76/NW-P98175_P98176_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
109,PP94745,Uponor S-Press riser system compression adaptor 110mm,Uponor,99.76,This Uponor S-Press 110mm adapter with press-fit connections is made of tin-plated brass material and includes colour code and test safety.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press riser system compression adaptor 110mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/45/NW-P94744_P94745_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Uponor_Product_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
110,PP95912,"Uponor UNI-C manifold L 4 pole 3/4"" male thread/female thread x 1/2"" male thread",Uponor,46.36,"This Uponor UNI-C four-port manifold is made of plated brass and has 3/4 x 1/2"" MT outlets. Supplied with handy loop labelling disks, this manifold's valves provide the option to isolate each individual circuit in a system. Additional manifolds can be joined together and adapters are available for connection to Uponor MLC, SAC and Q&E pipes.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor UNI-C manifold L 4 pole 3/4"" male thread/female thread x 1/2"" male thread",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/12/NW-P95912_wm.jpg,,Uni-C,N,,Unequal,3/4 inch,1/2 InchØ,Brass,3/4 x 1/2 inch,Threaded,1002282,Manifold,N,4-port,5 bar maximum operating pressure,Built using high-quality materials,,,,,,,Threaded,Female x Male,,0.65000
111,PP38831,Rehau RauTitan copper adaptor 25 x 22mm Gun Metal,Rehau,9.78,"This Rehau Rautitan 25 x 22mm copper adapter is a lead-free fitting offering flexibility and stability. Completely leakproof, this fitting is suitable for press-fit and solder installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Rehau RauTitan copper adaptor 25 x 22mm Gun Metal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/31/P38831_wm.jpg,,Rautitan,N,Kiwa,Unequal,22,N/A,Copper,25 x 22mm,"Press-Fit, Solder",456275-001,Adapter,N,"Flexible, stable installation",Leakproof fitting,Copper construction,Gunmetal finish,,25,KIWA approved,,0,,,,
112,PR12559,Riifo F5 F5-L1216X1216NI 16mm Elbows,Riifo,2.66,"Offering ease of fitting and reliable security, this Riifo 16mm 90° elbow is manufactured in corrosion resistant nickel-plated brass. The included double O-ring ensures reliable sealing while the risk of stress cracks is reduced by the annealing process.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Riifo F5 F5-L1216X1216NI 16mm Elbows",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/43/598643_wm.jpg,,F5,N,WRAS,Equal,16 mm,16 mm,Nickel Plated Brass,16x16mm,Press,1100044462,F5 90° Elbow,N,U pressing profile,"Easy, secure installation",Cost-effective choice,Corrosion resistant nickel plating,,,Machined using horizontal machining centers,Surface finish degree of no more than Ra3.2m,,,,WRAS approved,
