,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Hazardous,Dimensions (L x W x D),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Application,Feature 3,Attachment 3,Weight,Dimensions mm (H x W x D)
29,PP00259,PLN 2INX25MM 4OUTLET END CON MANIFOLD,Plasson,630.55,"Withstanding working pressures of up to 16 bar, this Plasson four port manifold end connection for cold water is part of a range including valves for the control of flow and accessories for a complete network solution. Polyacetal split rings and NBR O-rings suitable for water are supplied as standard.",Parts and Spares/sub_categories/Metering/Metering.csv -> PLN 2INX25MM 4OUTLET END CON MANIFOLD,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/60/NW-P00258_P00260_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Plasson_MeterManifoldAssemblies_Tech.pdf,,,,,,,,,,,,,,,
30,PBA2181,Talis matrix plus boundary box telescopic raised manifold 25mm,Talis,62.05,"This Talis Talbot boundary box, incorporating 25mm push-fit connections, offers visibility of and access to a meter with no risk of water ingress.",Parts and Spares/sub_categories/Metering/Metering.csv -> Talis matrix plus boundary box telescopic raised manifold 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/81/NW-BA2181_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talis_Talbo_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talis_House_Connection_Catalogue.pdf,,,,,,,,,,,,,,
31,P171257,JET Range Multi pulsed BSP cold water meter 40mm,JET Range,537.53,This JET Range MultiJET Range Class B type cold water meter has an epoxy powder-coated finish and 40mm screwed BSP for union connection. It is provided with a low flow indicator wheel.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Multi pulsed BSP cold water meter 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/59/NW-171253_171259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Water_Meter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Water_Meter_Instructions.pdf,,,,,,,,,,,,,,
32,P171260,JET Range Woltmann cold water meter PN16 50mm,JET Range,1084.46,This JET Range Woltmann cold water meter with epoxy powder-coated finish is supplied with a low flow indicator wheel and flanged to EN1092-2 PN16 50mm connection.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Woltmann cold water meter PN16 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/66/NW-171260_171266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
33,P497884,"Elster BK-G25 diaphragm gas meter with pulse 2""",Elster,989.0,"Accurate and safe, this Elster BK-G25 465mm diaphragm gas meter measures the volume of gas used and sends a pulsed signal directly to your BMS system. Supplied in folded form as co-axial and two-pipe versions, BK-G25 ensures low bearing loads and quiet operation via a pneumatically stopped stroke. The stadium-shaped synthetic diaphragm is dimensionally stable, while high-grade components and a patented curve K-system promise quality.","Parts and Spares/sub_categories/Metering/Metering.csv -> Elster BK-G25 diaphragm gas meter with pulse 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/84/NW-497883_497884_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Elster_BKG25_G25T_Gas_Meter_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Elster_EU_Declaration.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Elster_BK_Operating_Instruction.pdf,,
34,PN22009,"Socla pair of unions female 3/4"" male 1/2"" 15mm",Socla,34.2,"Made of brass, this Socla 3/4"" x 1/2"" x 15mm union for water meters incorporates a BSP female x male connection and withstands 10 bar pressure.","Parts and Spares/sub_categories/Metering/Metering.csv -> Socla pair of unions female 3/4"" male 1/2"" 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/09/NW-N22009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
35,PP94952,Mcl Composites IS0054 spare lid,Mcl Composites,116.02,"Supplied with a ready-fitted latch and fixings, this MCL Composites replacement door for the Unibox gas meter box is made of brown glass-reinforced plastic. It measures 320 x 480mm.",Parts and Spares/sub_categories/Metering/Metering.csv -> Mcl Composites IS0054 spare lid,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/52/NW-P94952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MCL_Composites_IS0054_Technical.pdf,,,,,,,,,,,,,,,
36,PP19132,Plasson 1 1/2'' water meter,Plasson,178.65,"Designed for use in cold water applications with temperatures up to 20°C, this Plasson positive displacement concentric water meter works in conjunction with the Plasson manifold. This manifold includes a check valve with some versions incorporating a stopcock and drain-off cock alongside pipework connections. Fitted with 15mm BSP connections and using a simple dial control, the Plasson water meter is suitable for horizontal, vertical or even inclined installation and is suitable for use in domestic potable water.",Parts and Spares/sub_categories/Metering/Metering.csv -> Plasson 1 1/2'' water meter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/32/NW-P19132_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_Gladiator_Technical.pdf,,,,,,,,,,,,,,,
37,PN22010,"Socla pair of unions female 1 x male 3/4""",Socla,93.12,"Made of brass, this Socla 1"" x 3/4"" x 20mm union for water meters incorporates a BSP female x male connection.","Parts and Spares/sub_categories/Metering/Metering.csv -> Socla pair of unions female 1 x male 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/11/NW-N22010_N22011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
38,PN22012,"Socla pair of unions female 1.1/2"" x male 1.1/4"" x 32mm",Socla,144.13,"Made of brass, this Socla 1 1/2"" x 1 1/4"" x 32mm union for water meters incorporates a BSP female x male connection.","Parts and Spares/sub_categories/Metering/Metering.csv -> Socla pair of unions female 1.1/2"" x male 1.1/4"" x 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/14/NW-N22012_N22014_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
39,P171263,JET Range Woltmann cold water meter 100mm,JET Range,1381.74,This JET Range Woltmann cold water meter with epoxy powder-coated finish is supplied with a low flow indicator wheel and flanged to EN1092-2 PN16 100mm connection.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Woltmann cold water meter 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/66/NW-171260_171266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
40,PP94344,Mcl Composites OB1 universal overbox Aluminium,Mcl Composites,626.75,This MCL Composites OB1 universal overbox is manufactured in aluminium.,Parts and Spares/sub_categories/Metering/Metering.csv -> Mcl Composites OB1 universal overbox Aluminium,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/44/P94344_wm.jpg,,,,N,,,IS5001,Overbox,N,For universal use,Aluminium construction,,,,10.00000,x  x
41,P171720,JET Range pocket M10 x 85mm Stainless Steel,JET Range,58.16,"Made of stainless steel, this JET Range M10 x 85mm temperature pocket is used in pairs for flow and return temperature sensors on a heat meter.",Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range pocket M10 x 85mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/22/NW-171720_171722_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water_Gas_Heat_Meters_Guide.pdf,,,,,,,,,,,,,,
42,P171276,JET Range Multi pulsed BSP hot water meter 32mm,JET Range,353.12,This JET Range MultiJET Range Class B type hot water meter has an epoxy powder-coated finish and 32mm screwed BSP for union connection. It is provided with a low flow indicator wheel.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Multi pulsed BSP hot water meter 32mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/79/NW-171273_171279_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Water_Meter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Water_Meter_Instructions.pdf,,,,,,,,,,,,,,
43,PN22014,"Socla pair of unions female 2.1/2"" x male 2"" x 50mm",Socla,329.88,"Made of brass, this Socla 2 1/2"" x 2"" x 50mm union for water meters incorporates a BSP female x male connection.","Parts and Spares/sub_categories/Metering/Metering.csv -> Socla pair of unions female 2.1/2"" x male 2"" x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/14/NW-N22012_N22014_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
44,PN22013,"Socla pair of unions female 2"" x male 1.1/2"" x 40mm",Socla,200.18,"Made of brass, this Socla 2"" x 1 1/2"" x 40mm union for water meters incorporates a BSP female x male connection.","Parts and Spares/sub_categories/Metering/Metering.csv -> Socla pair of unions female 2"" x male 1.1/2"" x 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/14/NW-N22012_N22014_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
45,PP00258,PLN 2INX25MM 6OUTLET END CON MANIFOLD,Plasson,711.36,"Withstanding working pressures of up to 16 bar, this Plasson six port manifold end connection for cold water is part of a range including valves for the control of flow and accessories for a complete network solution. Polyacetal split rings and NBR O-rings suitable for water are supplied as standard.",Parts and Spares/sub_categories/Metering/Metering.csv -> PLN 2INX25MM 6OUTLET END CON MANIFOLD,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/60/NW-P00258_P00260_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Plasson_MeterManifoldAssemblies_Tech.pdf,,,,,,,,,,,,,,,
46,PP94346,MCL MK1 OVERBOX ALUMINIUM IS5003,Mitras,625.11,"Manufactured in hardwearing aluminium, this Mitras MK1 OB2 gas overbox is designed to fit the MK1 surface gas meter box.",Parts and Spares/sub_categories/Metering/Metering.csv -> MCL MK1 OVERBOX ALUMINIUM IS5003,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/46/P94346_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P94346_Technical.pdf,,,,,,,,,,,,,,,
