,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3
22,PK86093,JET Range 614 nitrile lever operated lugged butterfly valve 150mm,JET Range,780.47,"This JET Range 614 150mm connection lever-operated butterfly valve, specifically for use in gas applications, has a ductile iron body with a stainless steel disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> JET Range 614 nitrile lever operated lugged butterfly valve 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/94/NW-K86088_K86094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,
23,PK28655,Crane F628 ductile iron fully lugged lever operated butterfly valve 125mm PN16,Crane,993.67,"This Crane F628 125mm connection manual butterfly valve has a lever-operated, epoxy-coated ductile iron body with a fully-lugged aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane F628 ductile iron fully lugged lever operated butterfly valve 125mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/57/NW-K28651_K28657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_Butterfly_Valves_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_F614_628_Butterfly_Valve_Tech.pdf,
24,PK28622,Crane F614 ductile iron fully lugged lever operated butterfly valve 100mm PN16,Crane,835.61,"This Crane F614 100mm connection manual butterfly valve has a lever-operated, epoxy-coated ductile iron body with a fully-lugged aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane F614 ductile iron fully lugged lever operated butterfly valve 100mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/25/NW-K28620_K28625_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_Butterfly_Valves_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_F614_628_Butterfly_Valve_Tech.pdf,
25,PK59057,"Crane Butterfly Valves F624 lever operated butterfly valve PN16 6""",Crane,1193.65,"Suitable for applications requiring Level 3 C3 (medium) corrosion protection, this maintenance-free Crane F624 fully-lugged PN16 butterfly valve incorporates 6"" connections and a ductile iron body. This lever-operated valve has an aluminium bronze disc and aluminium alloy handle. It is suitable for a  temperature range of -10°C to 100°C.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open, and closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane Butterfly Valves F624 lever operated butterfly valve PN16 6""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/58/NW-K59052_K59058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Crane_BFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_F621_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/5-/01/Crane_BFV_WRAS_Cert_2025-01.pdf
26,PK28666,Crane F629 ductile iron fully lugged gear operated butterfly valve 300mm PN16,Crane,4581.05,"Fitted with 300mm connections, this Crane F629 butterfly valve has a gearbox-operated, epoxy-coated ductile iron body alongside a semi-lugged aluminium bronze disc and EPDM liner.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane F629 ductile iron fully lugged gear operated butterfly valve 300mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/66/NW-K28665_K28666_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_PN16_ButterflyValve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_F629_F615_F628B_Technical.pdf,
27,PK86311,JET Range 624 EPDM gear operated lugged butterfly valve 125mm,JET Range,702.96,"Suitable for use in a wide range of operations, this JET Range 621 fully-lugged wafer butterfly valve can be used with low temperature hot water, domestic hot water, potable water and chilled water. This lever-operated valve has a 125mm connection size, 16 bar pressure rating and EPDM lining.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open, and closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> JET Range 624 EPDM gear operated lugged butterfly valve 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/13/NW-K86307_K86313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,
28,PK59040,"Crane FS621 F621 lever operated butterfly valve PN16 5""",Crane,1624.18,"Suitable for potable water applications, this Crane FS621 lever-operated butterfly valve is supplied with 5"" connections.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane FS621 F621 lever operated butterfly valve PN16 5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/40/NW-K59040_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_PN16_ButterflyValve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_F621_Technical.pdf,
29,PK28600,Hattersley FIG. 970 ductile iron semi lugged lever operated butterfly valve 100mm PN16,Hattersley,413.02,"This Hattersley 970 lever-operated compact butterfly valve with 100mm connections has a ductile iron, elastomer-lined body with an aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Hattersley FIG. 970 ductile iron semi lugged lever operated butterfly valve 100mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/02/NW-K28600_K28602_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Hattersley_970_970G_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hattersley_Butterfly_Valve_Install.pdf,
30,PK86092,* JET 614 BUTTERFLY VLV LUG NIT LVR  125,JET Range,702.96,"This JET Range 614 125mm connection lever-operated butterfly valve, specifically for use in gas applications, has a ductile iron body with a stainless steel disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> * JET 614 BUTTERFLY VLV LUG NIT LVR  125",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/94/NW-K86088_K86094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,
31,PK28665,Crane F629 ductile iron fully lugged gear operated butterfly valve 250mm PN16,Crane,3455.09,"Fitted with 250mm connections, this Crane F629 butterfly valve has a gearbox-operated, epoxy-coated ductile iron body alongside a semi-lugged aluminium bronze disc and EPDM liner.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane F629 ductile iron fully lugged gear operated butterfly valve 250mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/66/NW-K28665_K28666_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_PN16_ButterflyValve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_F629_F615_F628B_Technical.pdf,
